page_id,doc_id,page_num,file_name,document_family,experiment_tier,pdf_path,image_path,image_name,width,height,page_type,has_table,has_diagram,has_designators,has_dimensions,has_dense_text,is_candidate_page,include_flag,split,notes,label_notes
doc001_p001,doc001,1,doc001_fabrication_slu-sf05b.pdf,fabrication,core,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc001_fabrication_slu-sf05b.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc001\doc001_p001.png,doc001_p001.png,1582,2450,fabrication,yes,no,no,no,yes,yes,yes,train,,"fabrication requirements page with material, panel, and special requirement tables"
doc001_p002,doc001,2,doc001_fabrication_slu-sf05b.pdf,fabrication,core,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc001_fabrication_slu-sf05b.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc001\doc001_p002.png,doc001_p002.png,1582,2450,fabrication,no,yes,no,yes,no,yes,yes,train,,breakaway and bevel requirement diagrams with dimensional annotations
doc001_p003,doc001,3,doc001_fabrication_slu-sf05b.pdf,fabrication,core,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc001_fabrication_slu-sf05b.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc001\doc001_p003.png,doc001_p003.png,3170,2450,layout,no,yes,yes,yes,no,yes,yes,train,,top view and board dimension page showing component placement and board outline
doc001_p004,doc001,4,doc001_fabrication_slu-sf05b.pdf,fabrication,core,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc001_fabrication_slu-sf05b.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc001\doc001_p004.png,doc001_p004.png,2450,1582,fabrication,yes,yes,no,yes,no,yes,yes,train,,"fabrication detail page with drill drawing, drill table, and stackup legend"
doc001_p005,doc001,5,doc001_fabrication_slu-sf05b.pdf,fabrication,core,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc001_fabrication_slu-sf05b.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc001\doc001_p005.png,doc001_p005.png,3170,2450,layout,no,yes,no,no,no,yes,yes,train,,layer view page showing board artwork and copper routing
doc002_p001,doc002,1,doc002_assembly_cheatsheet.pdf,assembly,core,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc002_assembly_cheatsheet.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc002\doc002_p001.png,doc002_p001.png,2382,1684,assembly,yes,yes,yes,yes,yes,yes,yes,train,,"assembly drawing with top and bottom views, BOM table, component callouts, and dimensioned component details"
doc003_p001,doc003,1,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p001.png,doc003_p001.png,1190,1586,other,yes,no,no,no,no,no,yes,train,,cover information page with document information table and keywords
doc003_p002,doc003,2,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p002.png,doc003_p002.png,1190,1586,other,yes,no,no,no,no,no,yes,train,,revision history and contact information page
doc003_p003,doc003,3,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p003.png,doc003_p003.png,1191,1684,other,yes,no,no,no,yes,no,yes,train,,introduction page with customer evaluation kits table
doc003_p004,doc003,4,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p004.png,doc003_p004.png,1191,1684,other,yes,no,no,no,yes,no,yes,train,,application notes table and starter kit contents page
doc003_p005,doc003,5,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p005.png,doc003_p005.png,1191,1684,other,no,yes,no,no,no,no,yes,train,,photo page showing starter kit package contents
doc003_p006,doc003,6,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p006.png,doc003_p006.png,1191,1684,other,no,yes,no,no,yes,no,yes,train,,photo page showing populated pcb example and target application text
doc003_p007,doc003,7,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p007.png,doc003_p007.png,1191,1684,schematic,no,yes,yes,no,yes,yes,yes,train,,basic grounded emitter amplifier schematic with labeled matching network elements
doc003_p008,doc003,8,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p008.png,doc003_p008.png,1191,1684,schematic,no,yes,yes,no,yes,yes,yes,train,,basic emitter degeneration amplifier schematic with labeled matching network elements
doc003_p009,doc003,9,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p009.png,doc003_p009.png,1191,1684,fabrication,no,yes,no,yes,yes,yes,yes,train,,pcb layer stack page showing board cross section and stack dimensions
doc003_p010,doc003,10,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p010.png,doc003_p010.png,1191,1684,assembly,no,yes,yes,no,no,yes,yes,train,,pcb assembly drawing page showing populated board and zoomed assembly view for sot323 grounded emitter
doc003_p011,doc003,11,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p011.png,doc003_p011.png,1191,1684,assembly,no,yes,yes,no,no,yes,yes,train,,sot323 emitter degeneration pcb assembly drawing with populated board and zoomed component placement view
doc003_p012,doc003,12,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p012.png,doc003_p012.png,1191,1684,assembly,no,yes,yes,no,no,yes,yes,train,,sot23 grounded emitter pcb assembly drawing with populated board and zoomed component placement view
doc003_p013,doc003,13,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p013.png,doc003_p013.png,1191,1684,assembly,no,yes,yes,no,no,yes,yes,train,,sot23 emitter degeneration pcb assembly drawing with populated board and zoomed component placement view
doc003_p014,doc003,14,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p014.png,doc003_p014.png,1191,1684,assembly,no,yes,yes,no,no,yes,yes,train,,sot143 grounded emitter pcb assembly drawing with populated board and zoomed component placement view
doc003_p015,doc003,15,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p015.png,doc003_p015.png,1191,1684,assembly,no,yes,yes,no,no,yes,yes,train,,sot143 emitter degeneration pcb assembly drawing with populated board and zoomed component placement view
doc003_p016,doc003,16,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p016.png,doc003_p016.png,1191,1684,assembly,no,yes,yes,no,no,yes,yes,train,,sot143x grounded emitter pcb assembly drawing with populated board and zoomed component placement view
doc003_p017,doc003,17,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p017.png,doc003_p017.png,1191,1684,assembly,no,yes,yes,no,no,yes,yes,train,,sot143x emitter degeneration pcb assembly drawing with populated board and zoomed component placement view
doc003_p018,doc003,18,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p018.png,doc003_p018.png,1191,1684,schematic,no,yes,yes,no,no,yes,yes,train,,sot143xr generic schematic page showing grounded emitter and emitter degeneration variants
doc003_p019,doc003,19,doc003_manual_bfu5xx-starterkit.pdf,manual,extended,E:\Working\PCB_VisualRAG_Project\data\raw_pdfs\doc003_manual_bfu5xx-starterkit.pdf,E:\Working\PCB_VisualRAG_Project\data\images\doc003\doc003_p019.png,doc003_p019.png,1191,1684,assembly,no,yes,yes,no,no,yes,yes,train,,sot143xr grounded emitter pcb assembly drawing with populated board and zoomed component placement view
