query_id	page_id	relevance
q001	doc001_p001	2
q002	doc001_p002	2
q003	doc001_p003	2
q004	doc001_p004	2
q005	doc001_p005	2
q006	doc002_p001	2
q007	doc002_p001	2
q008	doc003_p007	2
q009	doc003_p008	2
q010	doc003_p009	2
q011	doc003_p010	2
q012	doc003_p011	2
q013	doc003_p012	2
q014	doc003_p013	2
q015	doc003_p014	2
q016	doc003_p015	2
q017	doc003_p016	2
q018	doc003_p017	2
q019	doc003_p018	2
q020	doc003_p019	2
q021	doc003_p020	2
q022	doc003_p022	2
q023	doc003_p023	2
q024	doc003_p024	2
q025	doc003_p025	2
q026	doc003_p026	2
q027	doc003_p027	2
q028	doc001_p001	2
q028	doc001_p003	2
q029	doc003_p007	2
q029	doc003_p010	2
q030	doc003_p008	2
q030	doc003_p011	2
