query_id,total_latency_ms,late_interaction_score_ms
q001,4.5662,4.5494
q002,4.1126,4.0964
q003,4.1572,4.1421
q004,4.1036,4.0869
q005,3.7807,3.7647
q006,9.4578,9.4383
q007,4.1832,4.1664
q008,4.7710,4.7503
q009,4.5933,4.5668
q010,4.6306,4.6112
q011,8.6293,8.6058
q012,7.6185,7.5952
q013,4.8862,4.8628
q014,5.4908,5.4697
q015,8.7071,8.6850
q016,7.5148,7.4919
q017,8.5272,8.4938
q018,8.2358,8.2141
q019,8.6146,8.5921
q020,4.6325,4.6150
q021,5.2474,5.2213
q022,8.4170,8.3906
q023,8.7736,8.7303
q024,8.7919,8.7692
q025,7.9959,7.9712
q026,6.6638,6.6437
q027,7.3154,7.2860
q028,7.7862,7.7647
q029,7.5300,7.5039
q030,7.3033,7.2784
