run_name	query_id	page_id	rank	score
c2f_single_vector_N100	q001	doc006_p008	1	1.07069719
c2f_single_vector_N100	q001	doc003_p004	2	1.01229644
c2f_single_vector_N100	q001	doc006_p019	3	0.97452557
c2f_single_vector_N100	q001	doc008_p002	4	0.80986643
c2f_single_vector_N100	q001	doc008_p001	5	0.78957403
c2f_single_vector_N100	q001	doc001_p004	6	0.77127963
c2f_single_vector_N100	q001	doc006_p027	7	0.71347523
c2f_single_vector_N100	q001	doc001_p001	8	0.33672112
c2f_single_vector_N100	q001	doc001_p003	9	0.26402420
c2f_single_vector_N100	q001	doc009_p001	10	0.21166092
c2f_single_vector_N100	q002	doc001_p002	1	0.50915086
c2f_single_vector_N100	q002	doc006_p013	2	0.20099561
c2f_single_vector_N100	q002	doc004_p010	3	0.01818884
c2f_single_vector_N100	q002	doc004_p009	4	-0.05655209
c2f_single_vector_N100	q002	doc003_p022	5	-0.14074385
c2f_single_vector_N100	q002	doc006_p010	6	-0.17426977
c2f_single_vector_N100	q002	doc006_p021	7	-0.18746886
c2f_single_vector_N100	q002	doc007_p001	8	-0.21634421
c2f_single_vector_N100	q002	doc006_p012	9	-0.23550883
c2f_single_vector_N100	q002	doc006_p020	10	-0.32770836
c2f_single_vector_N100	q003	doc003_p013	1	0.06804084
c2f_single_vector_N100	q003	doc004_p007	2	-0.12787977
c2f_single_vector_N100	q003	doc006_p008	3	-0.16880919
c2f_single_vector_N100	q003	doc006_p024	4	-0.18500802
c2f_single_vector_N100	q003	doc006_p009	5	-0.22645813
c2f_single_vector_N100	q003	doc006_p007	6	-0.35420084
c2f_single_vector_N100	q003	doc007_p001	7	-0.39851183
c2f_single_vector_N100	q003	doc006_p010	8	-0.42247728
c2f_single_vector_N100	q003	doc001_p004	9	-0.49017495
c2f_single_vector_N100	q003	doc001_p003	10	-0.96032774
c2f_single_vector_N100	q004	doc001_p002	1	0.84752858
c2f_single_vector_N100	q004	doc006_p013	2	0.64423549
c2f_single_vector_N100	q004	doc006_p021	3	0.53868449
c2f_single_vector_N100	q004	doc003_p009	4	0.48842958
c2f_single_vector_N100	q004	doc007_p002	5	0.41088077
c2f_single_vector_N100	q004	doc007_p001	6	0.40646103
c2f_single_vector_N100	q004	doc010_p001	7	0.35864002
c2f_single_vector_N100	q004	doc001_p004	8	0.33336881
c2f_single_vector_N100	q004	doc006_p020	9	0.30881232
c2f_single_vector_N100	q004	doc001_p003	10	-0.06251512
c2f_single_vector_N100	q005	doc004_p012	1	0.16846004
c2f_single_vector_N100	q005	doc004_p006	2	0.15322593
c2f_single_vector_N100	q005	doc003_p024	3	0.12903932
c2f_single_vector_N100	q005	doc006_p021	4	0.11148053
