query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score
q001,doc006_p008,3,0.30312997,1,1.07069719
q001,doc003_p004,1,0.30951309,2,1.01229644
q001,doc006_p019,8,0.29308042,3,0.97452557
q001,doc008_p002,9,0.29291564,4,0.80986643
q001,doc008_p001,4,0.29977500,5,0.78957403
q001,doc001_p004,2,0.30344424,6,0.77127963
q001,doc006_p027,10,0.29291147,7,0.71347523
q001,doc001_p001,6,0.29732460,8,0.33672112
q001,doc001_p003,5,0.29975665,9,0.26402420
q001,doc009_p001,7,0.29670906,10,0.21166092
q002,doc001_p002,10,0.29352564,1,0.50915086
q002,doc006_p013,5,0.29448646,2,0.20099561
q002,doc004_p010,3,0.29782048,3,0.01818884
q002,doc004_p009,2,0.30406293,4,-0.05655209
q002,doc003_p022,9,0.29388404,5,-0.14074385
q002,doc006_p010,1,0.30899596,6,-0.17426977
q002,doc006_p021,8,0.29422185,7,-0.18746886
q002,doc007_p001,7,0.29433382,8,-0.21634421
q002,doc006_p012,6,0.29441464,9,-0.23550883
q002,doc006_p020,4,0.29597977,10,-0.32770836
q003,doc003_p013,6,0.27560911,1,0.06804084
q003,doc004_p007,7,0.27393258,2,-0.12787977
q003,doc006_p008,9,0.27233201,3,-0.16880919
q003,doc006_p024,8,0.27264166,4,-0.18500802
q003,doc006_p009,3,0.27985957,5,-0.22645813
q003,doc006_p007,4,0.27750000,6,-0.35420084
q003,doc007_p001,2,0.28053892,7,-0.39851183
q003,doc006_p010,1,0.28277564,8,-0.42247728
q003,doc001_p004,5,0.27624893,9,-0.49017495
q003,doc001_p003,10,0.27039534,10,-0.96032774
q004,doc001_p002,7,0.29135960,1,0.84752858
q004,doc006_p013,1,0.30734742,2,0.64423549
q004,doc006_p021,5,0.29326630,3,0.53868449
q004,doc003_p009,4,0.29504547,4,0.48842958
q004,doc007_p002,9,0.29051736,5,0.41088077
q004,doc007_p001,3,0.29672986,6,0.40646103
q004,doc010_p001,2,0.30293217,7,0.35864002
q004,doc001_p004,6,0.29290476,8,0.33336881
q004,doc006_p020,10,0.28816634,9,0.30881232
q004,doc001_p003,8,0.29055411,10,-0.06251512
q005,doc004_p012,1,0.33134949,1,0.16846004
q005,doc004_p006,6,0.31565899,2,0.15322593
q005,doc003_p024,7,0.31453878,3,0.12903932
q005,doc006_p021,8,0.31453609,4,0.11148053
q005,doc004_p011,9,0.31330764,5,0.10603268
q005,doc005_p002,4,0.31778824,6,0.07852700
q005,doc005_p008,5,0.31601447,7,0.05638878
q005,doc006_p010,3,0.32066345,8,0.03772758
q005,doc003_p009,10,0.31305051,9,0.02496886
q005,doc006_p012,2,0.32477146,10,0.01218575
q006,doc006_p013,7,0.28237426,1,0.41562644
q006,doc004_p012,10,0.28149739,2,0.37747836
q006,doc004_p011,8,0.28172863,3,0.36536902
q006,doc006_p019,5,0.28528339,4,0.34780726
q006,doc005_p002,4,0.28695455,5,0.27240166
q006,doc006_p010,1,0.29383463,6,0.22987176
q006,doc006_p024,9,0.28168374,7,0.20307429
q006,doc007_p001,3,0.28728023,8,0.05968622
q006,doc001_p004,2,0.29210252,9,-0.01857511
q006,doc001_p003,6,0.28435314,10,-0.44543964
q007,doc006_p019,2,0.29200721,1,0.36519870
q007,doc003_p021,4,0.28420454,2,0.35950479
q007,doc003_p004,1,0.29378021,3,0.26481414
q007,doc006_p008,10,0.27881762,4,0.24310370
q007,doc006_p010,9,0.27924201,5,0.23670323
q007,doc008_p002,8,0.28141174,6,0.15228580
q007,doc006_p009,7,0.28191459,7,0.14881332
q007,doc007_p001,6,0.28239545,8,0.11787918
q007,doc003_p029,3,0.28634781,9,0.06714830
q007,doc001_p004,5,0.28384182,10,0.04681052
q008,doc004_p006,10,0.31653565,1,0.69098622
q008,doc003_p027,4,0.32740092,2,0.63397127
q008,doc003_p023,7,0.32064664,3,0.63356584
q008,doc003_p022,2,0.33705249,4,0.63277966
q008,doc003_p024,3,0.32770050,5,0.62667710
q008,doc006_p012,1,0.33709645,6,0.61344862
q008,doc003_p025,6,0.32696134,7,0.60986167
q008,doc004_p013,5,0.32716608,8,0.59470332
