query_id,Recall@1,Recall@5,Recall@10,MRR@10,nDCG@10,first_hit_rank,relevant_pages,top10_pages
q001,0.0,0.0,1.0,0.125,0.31546487678572877,8,doc001_p001,doc006_p008;doc003_p004;doc006_p019;doc008_p002;doc008_p001;doc001_p004;doc006_p027;doc001_p001;doc001_p003;doc009_p001
q002,1.0,1.0,1.0,1.0,1.0,1,doc001_p002,doc001_p002;doc006_p013;doc004_p010;doc004_p009;doc003_p022;doc006_p010;doc006_p021;doc007_p001;doc006_p012;doc006_p020
q003,0.0,0.0,1.0,0.1,0.2890648263178879,10,doc001_p003,doc003_p013;doc004_p007;doc006_p008;doc006_p024;doc006_p009;doc006_p007;doc007_p001;doc006_p010;doc001_p004;doc001_p003
q004,0.0,0.0,1.0,0.125,0.31546487678572877,8,doc001_p004,doc001_p002;doc006_p013;doc006_p021;doc003_p009;doc007_p002;doc007_p001;doc010_p001;doc001_p004;doc006_p020;doc001_p003
q005,0.0,0.0,0.0,0.0,0.0,,doc001_p005,doc004_p012;doc004_p006;doc003_p024;doc006_p021;doc004_p011;doc005_p002;doc005_p008;doc006_p010;doc003_p009;doc006_p012
q006,0.0,0.0,0.0,0.0,0.0,,doc002_p001,doc006_p013;doc004_p012;doc004_p011;doc006_p019;doc005_p002;doc006_p010;doc006_p024;doc007_p001;doc001_p004;doc001_p003
q007,0.0,0.0,0.0,0.0,0.0,,doc002_p001,doc006_p019;doc003_p021;doc003_p004;doc006_p008;doc006_p010;doc008_p002;doc006_p009;doc007_p001;doc003_p029;doc001_p004
q008,0.0,0.0,0.0,0.0,0.0,,doc003_p007,doc004_p006;doc003_p027;doc003_p023;doc003_p022;doc003_p024;doc006_p012;doc003_p025;doc004_p013;doc006_p010;doc006_p021
q009,0.0,0.0,0.0,0.0,0.0,,doc003_p008,doc004_p006;doc006_p012;doc003_p024;doc003_p027;doc003_p022;doc004_p013;doc003_p023;doc006_p010;doc003_p025;doc005_p008
q010,0.0,0.0,0.0,0.0,0.0,,doc003_p009,doc003_p013;doc006_p024;doc004_p018;doc005_p002;doc003_p011;doc005_p008;doc006_p021;doc004_p012;doc006_p020;doc003_p010
q011,0.0,0.0,0.0,0.0,0.0,,doc003_p010,doc005_p004;doc005_p008;doc005_p005;doc006_p021;doc006_p022;doc006_p012;doc006_p010;doc006_p025;doc006_p020;doc001_p003
q012,0.0,0.0,0.0,0.0,0.0,,doc003_p011,doc005_p004;doc004_p018;doc006_p021;doc005_p008;doc005_p005;doc006_p012;doc006_p022;doc006_p010;doc006_p025;doc006_p020
