run_name,compression,N,M,input_query_count,valid_query_count,input_candidate_rows,valid_candidate_count,avg_input_candidates_per_query,avg_valid_candidates_per_valid_query,rerank_time_seconds,per_query_latency_ms,run_file,score_file,missing_file,page_dir
w6_N10_M8_none,None,10,8,30,30,300,300,10.0,10.0,0.14617133140563965,4.872377713521321,results\budgeted\joint_compression\runs\w6_N10_M8_none_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M8_none_scores.csv,,artifacts\embeddings\token_selection\pages_M8
w6_N10_M8_pq,PQ,10,8,30,30,300,300,10.0,10.0,0.1468791961669922,4.895973205566406,results\budgeted\joint_compression\runs\w6_N10_M8_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M8_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M8_pq
w6_N10_M8_opq_pq,OPQ+PQ,10,8,30,30,300,300,10.0,10.0,0.14673471450805664,4.891157150268555,results\budgeted\joint_compression\runs\w6_N10_M8_opq_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M8_opq_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M8_opq_pq
w6_N10_M8_ivf_pq,IVF+PQ,10,8,30,30,300,300,10.0,10.0,0.14424729347229004,4.808243115743001,results\budgeted\joint_compression\runs\w6_N10_M8_ivf_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M8_ivf_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M8_ivf_pq
w6_N10_M8_ivf_opq_pq,IVF+OPQ+PQ,10,8,30,30,300,300,10.0,10.0,0.1441178321838379,4.803927739461264,results\budgeted\joint_compression\runs\w6_N10_M8_ivf_opq_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M8_ivf_opq_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M8_ivf_opq_pq
w6_N10_M16_none,None,10,16,30,30,300,300,10.0,10.0,0.15046143531799316,5.0153811772664385,results\budgeted\joint_compression\runs\w6_N10_M16_none_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M16_none_scores.csv,,artifacts\embeddings\token_selection\pages_M16
w6_N10_M16_pq,PQ,10,16,30,30,300,300,10.0,10.0,0.1485757827758789,4.952526092529297,results\budgeted\joint_compression\runs\w6_N10_M16_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M16_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M16_pq
w6_N10_M16_opq_pq,OPQ+PQ,10,16,30,30,300,300,10.0,10.0,0.14940428733825684,4.980142911275228,results\budgeted\joint_compression\runs\w6_N10_M16_opq_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M16_opq_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M16_opq_pq
w6_N10_M16_ivf_pq,IVF+PQ,10,16,30,30,300,300,10.0,10.0,0.17140769958496094,5.713589986165364,results\budgeted\joint_compression\runs\w6_N10_M16_ivf_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M16_ivf_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M16_ivf_pq
w6_N10_M16_ivf_opq_pq,IVF+OPQ+PQ,10,16,30,30,300,300,10.0,10.0,0.17101573944091797,5.700524648030599,results\budgeted\joint_compression\runs\w6_N10_M16_ivf_opq_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M16_ivf_opq_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq
w6_N10_M24_none,None,10,24,30,30,300,300,10.0,10.0,0.1595311164855957,5.3177038828531895,results\budgeted\joint_compression\runs\w6_N10_M24_none_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M24_none_scores.csv,,artifacts\embeddings\token_selection\pages_M24
w6_N10_M24_pq,PQ,10,24,30,30,300,300,10.0,10.0,0.1531519889831543,5.105066299438477,results\budgeted\joint_compression\runs\w6_N10_M24_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M24_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M24_pq
w6_N10_M24_opq_pq,OPQ+PQ,10,24,30,30,300,300,10.0,10.0,0.15018892288208008,5.00629742940267,results\budgeted\joint_compression\runs\w6_N10_M24_opq_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M24_opq_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M24_opq_pq
w6_N10_M24_ivf_pq,IVF+PQ,10,24,30,30,300,300,10.0,10.0,0.15299534797668457,5.099844932556152,results\budgeted\joint_compression\runs\w6_N10_M24_ivf_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M24_ivf_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M24_ivf_pq
w6_N10_M24_ivf_opq_pq,IVF+OPQ+PQ,10,24,30,30,300,300,10.0,10.0,0.16219854354858398,5.406618118286133,results\budgeted\joint_compression\runs\w6_N10_M24_ivf_opq_pq_run.tsv,results\budgeted\joint_compression\scores\w6_N10_M24_ivf_opq_pq_scores.csv,,artifacts\embeddings\joint_compression\pages_M24_ivf_opq_pq
