run_name,N,M,compression,input_dir,output_dir,num_pages,total_vectors,dim,pq_m,bits,nlist,nprobe,original_fp_file_size_mb,original_fp_payload_size_mb,reconstructed_file_size_mb,estimated_code_size_mb,estimated_compression_ratio_vs_fp_payload,file_ratio_vs_fp_files,mse,mae,build_time_sec,index_built,reconstruct_mode,code_size_bytes_per_vector,ntotal,is_trained
w6_N10_M8_pq,10,8,PQ,artifacts\embeddings\token_selection\pages_M8,artifacts\embeddings\joint_compression\pages_M8_pq,101,808,512,16,4,,,1.5904541015625,1.578125,1.5904541015625,0.00616455078125,256.0,1.0,0.0004607306618709117,0.01665865071117878,0.07103323936462402,True,pq_decode,8,808,True
w6_N10_M8_opq_pq,10,8,OPQ+PQ,artifacts\embeddings\token_selection\pages_M8,artifacts\embeddings\joint_compression\pages_M8_opq_pq,101,808,512,16,4,,,1.5904541015625,1.578125,1.5904541015625,0.00616455078125,256.0,1.0,0.0004371757968328893,0.016188308596611023,14.359713792800903,True,opq_reverse_pq_decode,8,808,True
w6_N10_M8_ivf_pq,10,8,IVF+PQ,artifacts\embeddings\token_selection\pages_M8,artifacts\embeddings\joint_compression\pages_M8_ivf_pq,101,808,512,16,4,8.0,4.0,1.5904541015625,1.578125,1.5904541015625,0.00616455078125,256.0,1.0,0.0004275804094504565,0.01605311967432499,0.09907293319702148,True,direct_map,8,808,True
w6_N10_M8_ivf_opq_pq,10,8,IVF+OPQ+PQ,artifacts\embeddings\token_selection\pages_M8,artifacts\embeddings\joint_compression\pages_M8_ivf_opq_pq,101,808,512,16,4,8.0,4.0,1.5904541015625,1.578125,1.5904541015625,0.00616455078125,256.0,1.0,0.0004135753551963717,0.015757307410240173,15.35015869140625,True,direct_map,8,808,True
w6_N10_M16_pq,10,16,PQ,artifacts\embeddings\token_selection\pages_M16,artifacts\embeddings\joint_compression\pages_M16_pq,101,1616,512,16,4,,,3.1685791015625,3.15625,3.1685791015625,0.0123291015625,256.0,1.0,0.00047263369197025895,0.016926802694797516,0.13236403465270996,True,pq_decode,8,1616,True
w6_N10_M16_opq_pq,10,16,OPQ+PQ,artifacts\embeddings\token_selection\pages_M16,artifacts\embeddings\joint_compression\pages_M16_opq_pq,101,1616,512,16,4,,,3.1685791015625,3.15625,3.1685791015625,0.0123291015625,256.0,1.0,0.00045046646846458316,0.01648344285786152,17.938496589660645,True,opq_reverse_pq_decode,8,1616,True
w6_N10_M16_ivf_pq,10,16,IVF+PQ,artifacts\embeddings\token_selection\pages_M16,artifacts\embeddings\joint_compression\pages_M16_ivf_pq,101,1616,512,16,4,8.0,4.0,3.1685791015625,3.15625,3.1685791015625,0.0123291015625,256.0,1.0,0.0004391977854538709,0.01630106009542942,0.14241790771484375,True,direct_map,8,1616,True
w6_N10_M16_ivf_opq_pq,10,16,IVF+OPQ+PQ,artifacts\embeddings\token_selection\pages_M16,artifacts\embeddings\joint_compression\pages_M16_ivf_opq_pq,101,1616,512,16,4,8.0,4.0,3.1685791015625,3.15625,3.1685791015625,0.0123291015625,256.0,1.0,0.00042224975186400115,0.015948807820677757,18.008740663528442,True,direct_map,8,1616,True
w6_N10_M24_pq,10,24,PQ,artifacts\embeddings\token_selection\pages_M24,artifacts\embeddings\joint_compression\pages_M24_pq,101,2424,512,16,4,,,4.7467041015625,4.734375,4.7467041015625,0.01849365234375,256.0,1.0,0.00045810092706233263,0.016606859862804413,0.18793702125549316,True,pq_decode,8,2424,True
w6_N10_M24_opq_pq,10,24,OPQ+PQ,artifacts\embeddings\token_selection\pages_M24,artifacts\embeddings\joint_compression\pages_M24_opq_pq,101,2424,512,16,4,,,4.7467041015625,4.734375,4.7467041015625,0.01849365234375,256.0,1.0,0.00043150378041900694,0.016065308824181557,20.54169464111328,True,opq_reverse_pq_decode,8,2424,True
w6_N10_M24_ivf_pq,10,24,IVF+PQ,artifacts\embeddings\token_selection\pages_M24,artifacts\embeddings\joint_compression\pages_M24_ivf_pq,101,2424,512,16,4,8.0,4.0,4.7467041015625,4.734375,4.7467041015625,0.01849365234375,256.0,1.0,0.00042484665755182505,0.01598394103348255,0.2200334072113037,True,direct_map,8,2424,True
w6_N10_M24_ivf_opq_pq,10,24,IVF+OPQ+PQ,artifacts\embeddings\token_selection\pages_M24,artifacts\embeddings\joint_compression\pages_M24_ivf_opq_pq,101,2424,512,16,4,8.0,4.0,4.7467041015625,4.734375,4.7467041015625,0.01849365234375,256.0,1.0,0.00040774315129965544,0.015605718828737736,20.385854721069336,True,direct_map,8,2424,True
