N,M,Compression,Recall@10,MRR@10,nDCG@10,Index Size MB,Latency ms/query,run_name,label,pareto_index_size,pareto_latency
10,8,,0.2666666666666666,0.0906878306878306,0.1248646485175053,1.578125,4.872377713521321,w6_N10_M8_none,M8-nan,False,True
10,8,PQ,0.2666666666666666,0.0503703703703703,0.0948907660405588,0.00616455078125,4.895973205566406,w6_N10_M8_pq,M8-PQ,False,False
10,8,OPQ+PQ,0.2666666666666666,0.0426322751322751,0.0888112747422102,0.00616455078125,4.891157150268555,w6_N10_M8_opq_pq,M8-OPQ+PQ,False,False
10,8,IVF+PQ,0.2666666666666666,0.0529100529100529,0.0969171609741045,0.00616455078125,4.808243115743001,w6_N10_M8_ivf_pq,M8-IVF+PQ,False,False
10,8,IVF+OPQ+PQ,0.2666666666666666,0.0553174603174603,0.0990213386467867,0.00616455078125,4.803927739461264,w6_N10_M8_ivf_opq_pq,M8-IVF+OPQ+PQ,True,True
10,16,,0.2666666666666666,0.0901322751322751,0.1242322812106711,3.15625,5.015381177266439,w6_N10_M16_none,M16-nan,False,False
10,16,PQ,0.2666666666666666,0.065,0.1071766853641443,0.0123291015625,4.952526092529297,w6_N10_M16_pq,M16-PQ,False,False
10,16,OPQ+PQ,0.2666666666666666,0.0423148148148148,0.088380684895857,0.0123291015625,4.980142911275228,w6_N10_M16_opq_pq,M16-OPQ+PQ,False,False
10,16,IVF+PQ,0.2666666666666666,0.0656481481481481,0.1060688722334077,0.0123291015625,5.713589986165364,w6_N10_M16_ivf_pq,M16-IVF+PQ,False,False
10,16,IVF+OPQ+PQ,0.2666666666666666,0.0779629629629629,0.1162059201060923,0.0123291015625,5.700524648030599,w6_N10_M16_ivf_opq_pq,M16-IVF+OPQ+PQ,True,False
10,24,,0.2666666666666666,0.0754497354497354,0.1144666925144194,4.734375,5.3177038828531895,w6_N10_M24_none,M24-nan,False,False
10,24,PQ,0.2666666666666666,0.0889285714285714,0.1254604879199485,0.01849365234375,5.105066299438477,w6_N10_M24_pq,M24-PQ,False,True
10,24,OPQ+PQ,0.2666666666666666,0.0822619047619047,0.1200746421300159,0.01849365234375,5.00629742940267,w6_N10_M24_opq_pq,M24-OPQ+PQ,False,False
10,24,IVF+PQ,0.2666666666666666,0.0725396825396825,0.1120414586026706,0.01849365234375,5.099844932556152,w6_N10_M24_ivf_pq,M24-IVF+PQ,False,False
10,24,IVF+OPQ+PQ,0.2666666666666666,0.0956878306878306,0.1295850395760222,0.01849365234375,5.406618118286133,w6_N10_M24_ivf_opq_pq,M24-IVF+OPQ+PQ,True,True
