M,Compression,run_name,Delta Recall@10 vs None,Delta MRR@10 vs None,Delta nDCG@10 vs None,Index Size Ratio vs None,Latency Delta ms/query vs None
8,PQ,w6_N10_M8_pq,0.0,-0.040317460317460294,-0.029973882476946503,0.00390625,0.02359549204508493
8,OPQ+PQ,w6_N10_M8_opq_pq,0.0,-0.0480555555555555,-0.03605337377529509,0.00390625,0.01877943674723337
8,IVF+PQ,w6_N10_M8_ivf_pq,0.0,-0.037777777777777695,-0.027947487543400804,0.00390625,-0.06413459777832031
8,IVF+OPQ+PQ,w6_N10_M8_ivf_opq_pq,0.0,-0.035370370370370295,-0.025843309870718603,0.00390625,-0.0684499740600577
16,PQ,w6_N10_M16_pq,0.0,-0.025132275132275103,-0.0170555958465268,0.00390625,-0.06285508473714252
16,OPQ+PQ,w6_N10_M16_opq_pq,0.0,-0.04781746031746031,-0.035851596314814105,0.00390625,-0.035238265991211826
16,IVF+PQ,w6_N10_M16_ivf_pq,0.0,-0.02448412698412701,-0.0181634089772634,0.00390625,0.6982088088989249
16,IVF+OPQ+PQ,w6_N10_M16_ivf_opq_pq,0.0,-0.012169312169312205,-0.0080263611045788,0.00390625,0.6851434707641593
24,PQ,w6_N10_M24_pq,0.0,0.013478835978835993,0.010993795405529083,0.00390625,-0.21263758341471295
24,OPQ+PQ,w6_N10_M24_opq_pq,0.0,0.006812169312169297,0.005607949615596491,0.00390625,-0.31140645345051965
24,IVF+PQ,w6_N10_M24_ivf_pq,0.0,-0.0029100529100529043,-0.0024252339117488003,0.00390625,-0.21785895029703717
24,IVF+OPQ+PQ,w6_N10_M24_ivf_opq_pq,0.0,0.020238095238095194,0.015118347061602783,0.00390625,0.0889142354329433
