failure_type,query_id,evidence_run,evidence,possible_cause,analysis_value
small_N_or_coarse_miss,q005,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q006,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q007,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q008,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q009,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q010,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q011,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q012,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q013,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q014,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q015,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q016,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q017,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
small_N_or_coarse_miss,q018,single_vector_candidates_top10,gold page not found in top10 candidate pool,coarse retrieval did not recall gold page,shows N controls recall ceiling
