query_id,hit@10_M8,hit@10_M16,hit@10_M24,ndcg@10_M8,ndcg@10_M16,ndcg@10_M24,rr@10_M8,rr@10_M16,rr@10_M24,delta_ndcg_M24_minus_M8,delta_ndcg_M24_minus_M16,M_sensitivity_type
q004,1.0,1.0,1.0,0.2890648263178879,0.2890648263178879,0.5,0.1,0.1,0.3333333333333333,0.21093517368211212,0.21093517368211212,benefits_from_larger_M
q001,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,stable
q005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q003,1.0,1.0,1.0,0.2890648263178879,0.2890648263178879,0.2890648263178879,0.1,0.1,0.1,0.0,0.0,stable
q006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q022,1.0,1.0,1.0,0.3010299956639812,0.31546487678572877,0.3010299956639812,0.1111111111111111,0.125,0.1111111111111111,0.0,-0.014434881121747567,stable
q029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,stable
q026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stable
q028,1.0,1.0,1.0,0.17723928678404774,0.18457569677956817,0.17723928678404774,0.1,0.1111111111111111,0.1,0.0,-0.007336409995520432,stable
q024,1.0,1.0,1.0,0.3562071871080222,0.31546487678572877,0.3333333333333333,0.16666666666666666,0.125,0.14285714285714285,-0.022873853774688868,0.01786845654760455,stable
q002,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,-0.5,-0.5,worse_with_larger_M
