query_id,none_hit@10,none_rr@10,none_ndcg@10,compressed_hit@10,compressed_rr@10,compressed_ndcg@10,run_name,M,Compression,delta_hit@10,delta_rr@10,delta_ndcg@10,quantization_sensitivity_type
q002,1.0,1.0,1.0,1.0,0.1111111111111111,0.3010299956639812,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,-0.8888888888888888,-0.6989700043360187,hurt_by_quantization
q002,1.0,1.0,1.0,1.0,0.1111111111111111,0.3010299956639812,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,-0.8888888888888888,-0.6989700043360187,hurt_by_quantization
q002,1.0,1.0,1.0,1.0,0.125,0.31546487678572877,w6_N10_M8_opq_pq,8,OPQ+PQ,0.0,-0.875,-0.6845351232142712,hurt_by_quantization
q002,1.0,1.0,1.0,1.0,0.125,0.31546487678572877,w6_N10_M8_pq,8,PQ,0.0,-0.875,-0.6845351232142712,hurt_by_quantization
q025,1.0,1.0,1.0,1.0,0.16666666666666666,0.3562071871080222,w6_N10_M16_opq_pq,16,OPQ+PQ,0.0,-0.8333333333333334,-0.6437928128919779,hurt_by_quantization
q002,1.0,1.0,1.0,1.0,0.16666666666666666,0.3562071871080222,w6_N10_M16_ivf_pq,16,IVF+PQ,0.0,-0.8333333333333334,-0.6437928128919779,hurt_by_quantization
q025,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,w6_N10_M8_opq_pq,8,OPQ+PQ,0.0,-0.75,-0.5693234419266069,hurt_by_quantization
q025,1.0,1.0,1.0,1.0,0.25,0.43067655807339306,w6_N10_M8_pq,8,PQ,0.0,-0.75,-0.5693234419266069,hurt_by_quantization
q002,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,w6_N10_M16_opq_pq,16,OPQ+PQ,0.0,-0.6666666666666667,-0.5,hurt_by_quantization
q002,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,w6_N10_M16_pq,16,PQ,0.0,-0.6666666666666667,-0.5,hurt_by_quantization
q002,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,-0.5,-0.36907024642854247,hurt_by_quantization
q025,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,w6_N10_M8_ivf_pq,8,IVF+PQ,0.0,-0.5,-0.36907024642854247,hurt_by_quantization
q025,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,w6_N10_M24_pq,24,PQ,0.0,-0.5,-0.36907024642854247,hurt_by_quantization
q025,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,w6_N10_M16_pq,16,PQ,0.0,-0.5,-0.36907024642854247,hurt_by_quantization
q025,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,-0.5,-0.36907024642854247,hurt_by_quantization
q002,1.0,0.3333333333333333,0.5,1.0,0.125,0.31546487678572877,w6_N10_M24_ivf_pq,24,IVF+PQ,0.0,-0.20833333333333331,-0.18453512321427123,hurt_by_quantization
q002,1.0,0.3333333333333333,0.5,1.0,0.16666666666666666,0.3562071871080222,w6_N10_M24_ivf_opq_pq,24,IVF+OPQ+PQ,0.0,-0.16666666666666666,-0.14379281289197782,hurt_by_quantization
q004,1.0,0.3333333333333333,0.5,1.0,0.16666666666666666,0.3562071871080222,w6_N10_M24_opq_pq,24,OPQ+PQ,0.0,-0.16666666666666666,-0.14379281289197782,hurt_by_quantization
q002,1.0,0.3333333333333333,0.5,1.0,0.2,0.38685280723454163,w6_N10_M24_pq,24,PQ,0.0,-0.1333333333333333,-0.11314719276545837,hurt_by_quantization
q004,1.0,0.3333333333333333,0.5,1.0,0.25,0.43067655807339306,w6_N10_M24_ivf_pq,24,IVF+PQ,0.0,-0.08333333333333331,-0.06932344192660694,hurt_by_quantization
q022,1.0,0.125,0.31546487678572877,1.0,0.1111111111111111,0.3010299956639812,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,-0.013888888888888895,-0.014434881121747567,stable
q028,1.0,0.1111111111111111,0.18457569677956817,1.0,0.1,0.17723928678404774,w6_N10_M16_ivf_pq,16,IVF+PQ,0.0,-0.0111111111111111,-0.007336409995520432,stable
q028,1.0,0.1111111111111111,0.18457569677956817,1.0,0.1,0.17723928678404774,w6_N10_M16_pq,16,PQ,0.0,-0.0111111111111111,-0.007336409995520432,stable
q028,1.0,0.1111111111111111,0.18457569677956817,1.0,0.1,0.17723928678404774,w6_N10_M16_opq_pq,16,OPQ+PQ,0.0,-0.0111111111111111,-0.007336409995520432,stable
q028,1.0,0.1111111111111111,0.18457569677956817,1.0,0.1,0.17723928678404774,w6_N10_M16_ivf_opq_pq,16,IVF+OPQ+PQ,0.0,-0.0111111111111111,-0.007336409995520432,stable
q026,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q010,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q011,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q012,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q013,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q014,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q015,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q016,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q017,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q018,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q019,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q020,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q021,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q025,1.0,1.0,1.0,1.0,1.0,1.0,w6_N10_M24_opq_pq,24,OPQ+PQ,0.0,0.0,0.0,stable
q023,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q029,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q028,1.0,0.1,0.17723928678404774,1.0,0.1,0.17723928678404774,w6_N10_M24_pq,24,PQ,0.0,0.0,0.0,stable
q004,1.0,0.1,0.2890648263178879,1.0,0.1,0.2890648263178879,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q005,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q006,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q007,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q008,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q009,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q010,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q011,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q012,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
q013,0.0,0.0,0.0,0.0,0.0,0.0,w6_N10_M8_ivf_opq_pq,8,IVF+OPQ+PQ,0.0,0.0,0.0,stable
