query_id,page_id,score,run_name,compression,query_file,page_file
q001,doc003_p004,0.21975237131118774,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc003_p004.npy
q001,doc001_p004,-0.5480018258094788,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc001_p004.npy
q001,doc006_p008,-0.43176132440567017,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p008.npy
q001,doc008_p001,0.44415658712387085,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc008_p001.npy
q001,doc001_p003,-0.535059928894043,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc001_p003.npy
q001,doc001_p001,-0.15495675802230835,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc001_p001.npy
q001,doc009_p001,-0.44406625628471375,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc009_p001.npy
q001,doc006_p019,0.07800228148698807,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p019.npy
q001,doc008_p002,-0.570534348487854,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc008_p002.npy
q001,doc006_p027,0.4424183666706085,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q001.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p027.npy
q002,doc006_p010,-0.5873313546180725,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p010.npy
q002,doc004_p009,-0.9781187176704407,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc004_p009.npy
q002,doc004_p010,-0.8661522269248962,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc004_p010.npy
q002,doc006_p020,-0.6094689965248108,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p020.npy
q002,doc006_p013,-0.9059123992919922,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p013.npy
q002,doc006_p012,-0.6183820962905884,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p012.npy
q002,doc007_p001,-1.0966382026672363,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc007_p001.npy
q002,doc006_p021,-0.6183820962905884,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p021.npy
q002,doc003_p022,-0.9449220299720764,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc003_p022.npy
q002,doc001_p002,-0.9715258479118347,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q002.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc001_p002.npy
q003,doc006_p010,-0.7382372617721558,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p010.npy
q003,doc007_p001,-1.2153315544128418,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc007_p001.npy
q003,doc006_p009,-0.917600691318512,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p009.npy
q003,doc006_p007,-0.7628849148750305,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p007.npy
q003,doc001_p004,-1.268372893333435,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc001_p004.npy
q003,doc003_p013,-1.0615581274032593,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc003_p013.npy
q003,doc004_p007,-0.9091766476631165,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc004_p007.npy
q003,doc006_p024,-0.7572349309921265,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p024.npy
q003,doc006_p008,-1.357089638710022,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p008.npy
q003,doc001_p003,-1.368431806564331,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q003.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc001_p003.npy
q004,doc006_p013,-0.2196161448955536,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p013.npy
q004,doc010_p001,-0.4449702799320221,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc010_p001.npy
q004,doc007_p001,-0.5599223971366882,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc007_p001.npy
q004,doc003_p009,0.06585781276226044,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc003_p009.npy
q004,doc006_p021,0.14750897884368896,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p021.npy
q004,doc001_p004,-0.6480498313903809,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc001_p004.npy
q004,doc001_p002,-0.3403978645801544,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc001_p002.npy
q004,doc001_p003,-0.7064917087554932,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc001_p003.npy
q004,doc007_p002,0.14750897884368896,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc007_p002.npy
q004,doc006_p020,0.14750897884368896,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q004.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p020.npy
q005,doc004_p012,-0.274309903383255,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q005.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc004_p012.npy
q005,doc006_p012,-0.26345694065093994,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q005.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p012.npy
q005,doc006_p010,-0.2744937241077423,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q005.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc006_p010.npy
q005,doc005_p002,-0.597913920879364,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q005.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc005_p002.npy
q005,doc005_p008,-0.7839257121086121,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q005.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc005_p008.npy
q005,doc004_p006,-0.29392990469932556,w6_N10_M8_pq,PQ,artifacts\embeddings\full_multivector\queries\q005.npy,artifacts\embeddings\joint_compression\pages_M8_pq\doc004_p006.npy
