query_id,full_page_hit@1,single_page_hit@1,full_page_hit@5,single_page_hit@5,full_page_hit@10,single_page_hit@10,full_rr@10,single_rr@10
q001,0,0,0,0,0,0,0.0,0.0
q002,0,0,1,0,1,0,0.3333333333333333,0.0
q003,0,0,0,0,0,0,0.0,0.0
q004,0,0,0,0,0,0,0.0,0.0
q005,0,0,0,0,0,0,0.0,0.0
q006,0,0,0,0,0,0,0.0,0.0
q007,0,0,0,0,0,0,0.0,0.0
q008,0,0,0,0,0,0,0.0,0.0
q009,0,0,0,0,0,0,0.0,0.0
q010,0,0,0,0,0,0,0.0,0.0
q011,0,0,0,0,0,0,0.0,0.0
q012,0,0,0,0,0,0,0.0,0.0
q013,1,0,1,0,1,0,1.0,0.0
q014,0,0,1,0,1,0,0.5,0.0
q015,0,0,0,0,0,0,0.0,0.0
q016,0,0,0,0,0,0,0.0,0.0
q017,0,0,0,0,0,0,0.0,0.0
q018,0,0,0,0,0,0,0.0,0.0
q019,0,0,0,0,0,0,0.0,0.0
q020,0,0,0,0,0,0,0.0,0.0
q021,0,0,0,0,1,0,0.1,0.0
q022,0,0,0,0,0,0,0.0,0.0
q023,0,0,0,0,0,0,0.0,0.0
q024,0,0,0,0,0,0,0.0,0.0
q025,0,0,0,0,0,0,0.0,0.0
q026,0,0,0,0,0,0,0.0,0.0
q027,0,0,0,0,0,0,0.0,0.0
q028,0,0,0,0,0,0,0.0,0.0
q029,0,0,0,0,0,0,0.0,0.0
q030,0,0,0,0,0,0,0.0,0.0
