query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score,page_tokens_before,page_tokens_after
q001,doc004_p019,16,7.05589500,1,1.03028953,49,8
q001,doc006_p013,3,11.74067500,2,0.95624828,49,8
q001,doc009_p003,17,7.03525500,3,0.94548434,49,8
q001,doc003_p004,8,7.48106200,4,0.90174890,49,8
q001,doc006_p016,20,6.96758700,5,0.86136496,49,8
q001,doc010_p002,18,7.00748000,6,0.82608843,49,8
q001,doc005_p004,13,7.16875400,7,0.80362457,49,8
q001,doc007_p001,12,7.18752500,8,0.80232739,49,8
q001,doc003_p003,6,9.23528300,9,0.75313115,49,8
q001,doc006_p003,5,9.28121700,10,0.73821187,49,8
q001,doc006_p009,7,7.66040700,11,0.66729248,49,8
q001,doc006_p019,1,15.05430200,12,0.62178946,49,8
q001,doc005_p009,9,7.45509900,13,0.41748706,49,8
q001,doc005_p006,19,6.97912500,14,0.38475114,49,8
q001,doc001_p001,2,13.69148500,15,0.20652863,49,8
q001,doc001_p002,15,7.07261200,16,0.06462049,49,8
q001,doc010_p001,14,7.13687100,17,-0.11574204,49,8
q001,doc001_p005,11,7.20829400,18,-0.20162080,49,8
q001,doc002_p001,10,7.24297300,19,-0.21654096,49,8
q001,doc001_p004,4,9.66284400,20,-0.65534246,49,8
q002,doc006_p013,4,8.99068500,1,-0.05786718,49,8
q002,doc004_p019,18,6.10186400,2,-0.06387149,49,8
q002,doc004_p003,16,6.21405800,3,-0.11721747,49,8
q002,doc004_p010,19,5.60657400,4,-0.12534261,49,8
q002,doc009_p003,9,7.03525500,5,-0.13392670,49,8
q002,doc001_p002,2,11.74635400,6,-0.19809480,49,8
q002,doc006_p016,11,6.96758700,7,-0.20797996,49,8
q002,doc006_p002,15,6.29075800,8,-0.21703693,49,8
q002,doc010_p002,10,7.00748000,9,-0.24897414,49,8
q002,doc006_p003,8,7.42036200,10,-0.25792173,49,8
q002,doc003_p003,12,6.81874500,11,-0.30816683,49,8
q002,doc005_p009,7,7.45509900,12,-0.46999529,49,8
q002,doc006_p009,6,7.66040700,13,-0.52091718,49,8
q002,doc006_p019,3,10.97743200,14,-0.58251709,49,8
q002,doc006_p006,13,6.74361900,15,-0.58417296,49,8
q002,doc004_p014,14,6.51815400,16,-0.69510388,49,8
q002,doc007_p002,20,5.60572000,17,-0.77728808,49,8
q002,doc001_p001,1,13.51309900,18,-0.79774874,49,8
q002,doc002_p001,17,6.19127200,19,-0.82432836,49,8
q002,doc001_p005,5,8.43588400,20,-1.10103631,49,8
q003,doc006_p013,5,8.60126400,1,-0.25322777,49,8
q003,doc004_p010,9,7.24552500,2,-0.27167207,49,8
q003,doc010_p002,14,5.66062600,3,-0.32946813,49,8
q003,doc006_p016,19,5.29084000,4,-0.33417401,49,8
q003,doc003_p004,13,5.91425700,5,-0.40362024,49,8
q003,doc005_p004,10,7.19721400,6,-0.41279766,49,8
q003,doc005_p003,17,5.37165000,7,-0.42915517,49,8
q003,doc005_p002,12,6.18009500,8,-0.44805199,49,8
q003,doc005_p001,6,8.49916200,9,-0.45424610,49,8
q003,doc004_p015,20,5.26706400,10,-0.46337292,49,8
q003,doc006_p005,16,5.41287100,11,-0.56439525,49,8
q003,doc006_p009,7,7.66040700,12,-0.59122491,49,8
q003,doc005_p006,11,7.09094600,13,-0.63824296,49,8
q003,doc006_p006,18,5.37004500,14,-0.65074116,49,8
q003,doc006_p011,4,8.79135200,15,-0.65762854,49,8
q003,doc005_p009,8,7.30062400,16,-0.73271757,49,8
q003,doc006_p019,2,10.99652200,17,-0.81855762,49,8
q003,doc002_p001,1,12.80303800,18,-0.95730698,49,8
q003,doc007_p002,3,9.36951200,19,-0.95989537,49,8
q003,doc001_p004,15,5.44353600,20,-1.37812757,49,8
q004,doc006_p008,20,8.45214500,1,0.58182150,49,8
q004,doc004_p010,5,9.55820400,2,0.55304331,49,8
q004,doc005_p004,4,9.72703000,3,0.53353667,49,8
q004,doc006_p013,7,9.39821500,4,0.51568222,49,8
q004,doc003_p004,11,9.24970700,5,0.50534761,49,8
q004,doc004_p019,13,9.16508000,6,0.46919090,49,8
q004,doc004_p003,19,8.51551100,7,0.45566273,49,8
q004,doc006_p016,18,8.65834300,8,0.43060720,49,8
q004,doc003_p028,16,8.81521000,9,0.40871394,49,8
q004,doc007_p001,12,9.24594900,10,0.33939493,49,8
q004,doc006_p003,3,11.00130000,11,0.28150511,49,8
q004,doc006_p005,15,8.90949000,12,0.26164818,49,8
q004,doc006_p014,6,9.48878600,13,0.24356890,49,8
q004,doc006_p026,10,9.30672600,14,0.15056546,49,8
q004,doc006_p019,2,14.14775100,15,0.10301212,49,8
q004,doc005_p009,14,9.10872000,16,0.10299279,49,8
q004,doc005_p006,9,9.37516900,17,-0.02044449,49,8
q004,doc004_p014,17,8.77428200,18,-0.27140352,49,8
q004,doc010_p001,8,9.37579000,19,-0.38156408,49,8
q004,doc001_p004,1,22.94494800,20,-0.54682803,49,8
q005,doc006_p013,3,8.82913600,1,0.09750387,49,8
q005,doc004_p010,7,7.37560800,2,0.09030494,49,8
q005,doc005_p004,18,5.42532900,3,0.07629410,49,8
q005,doc010_p002,8,7.00748000,4,0.04678665,49,8
q005,doc004_p016,11,6.48717500,5,0.00709416,49,8
q005,doc005_p001,13,6.20318800,6,-0.06001071,49,8
q005,doc004_p015,20,5.36289200,7,-0.08813830,49,8
q005,doc006_p007,15,5.99741800,8,-0.09924925,49,8
q005,doc006_p005,17,5.53840300,9,-0.10790201,49,8
q005,doc006_p009,14,6.14343900,10,-0.21361387,49,8
q005,doc001_p002,9,6.86349700,11,-0.21611176,49,8
q005,doc005_p006,12,6.35498400,12,-0.23350860,49,8
q005,doc005_p009,10,6.54416000,13,-0.23590727,49,8
