run_name	query_id	page_id	rank	score
bm25_budgetmv_N50_M24_none	q001	doc006_p008	1	1.06989670
bm25_budgetmv_N50_M24_none	q001	doc004_p019	2	1.03028953
bm25_budgetmv_N50_M24_none	q001	doc006_p002	3	1.01802504
bm25_budgetmv_N50_M24_none	q001	doc004_p005	4	0.97081399
bm25_budgetmv_N50_M24_none	q001	doc003_p028	5	0.96956313
bm25_budgetmv_N50_M24_none	q001	doc005_p006	6	0.96540755
bm25_budgetmv_N50_M24_none	q001	doc006_p013	7	0.96380454
bm25_budgetmv_N50_M24_none	q001	doc004_p003	8	0.96223569
bm25_budgetmv_N50_M24_none	q001	doc009_p003	9	0.94548428
bm25_budgetmv_N50_M24_none	q001	doc003_p004	10	0.91910434
bm25_budgetmv_N50_M24_none	q002	doc005_p006	1	0.05762504
bm25_budgetmv_N50_M24_none	q002	doc004_p014	2	0.02752504
bm25_budgetmv_N50_M24_none	q002	doc004_p005	3	0.01027298
bm25_budgetmv_N50_M24_none	q002	doc006_p013	4	-0.02975273
bm25_budgetmv_N50_M24_none	q002	doc004_p003	5	-0.04263462
bm25_budgetmv_N50_M24_none	q002	doc004_p019	6	-0.06229459
bm25_budgetmv_N50_M24_none	q002	doc004_p010	7	-0.07136238
bm25_budgetmv_N50_M24_none	q002	doc004_p009	8	-0.08483208
bm25_budgetmv_N50_M24_none	q002	doc006_p002	9	-0.10158624
bm25_budgetmv_N50_M24_none	q002	doc005_p002	10	-0.10720829
bm25_budgetmv_N50_M24_none	q003	doc005_p006	1	-0.12977338
bm25_budgetmv_N50_M24_none	q003	doc004_p010	2	-0.22715707
bm25_budgetmv_N50_M24_none	q003	doc006_p016	3	-0.25201651
bm25_budgetmv_N50_M24_none	q003	doc006_p013	4	-0.25322789
bm25_budgetmv_N50_M24_none	q003	doc003_p021	5	-0.26871264
bm25_budgetmv_N50_M24_none	q003	doc004_p003	6	-0.28577176
bm25_budgetmv_N50_M24_none	q003	doc009_p003	7	-0.29334009
bm25_budgetmv_N50_M24_none	q003	doc004_p016	8	-0.29584673
bm25_budgetmv_N50_M24_none	q003	doc004_p009	9	-0.30256292
bm25_budgetmv_N50_M24_none	q003	doc003_p004	10	-0.30469221
bm25_budgetmv_N50_M24_none	q004	doc005_p006	1	0.68070978
bm25_budgetmv_N50_M24_none	q004	doc004_p005	2	0.67559886
bm25_budgetmv_N50_M24_none	q004	doc004_p009	3	0.64221656
bm25_budgetmv_N50_M24_none	q004	doc004_p018	4	0.63228476
bm25_budgetmv_N50_M24_none	q004	doc004_p010	5	0.61772662
bm25_budgetmv_N50_M24_none	q004	doc006_p008	6	0.60667092
bm25_budgetmv_N50_M24_none	q004	doc005_p004	7	0.54478991
bm25_budgetmv_N50_M24_none	q004	doc006_p013	8	0.53394157
bm25_budgetmv_N50_M24_none	q004	doc004_p016	9	0.53195709
bm25_budgetmv_N50_M24_none	q004	doc009_p003	10	0.52555269
bm25_budgetmv_N50_M24_none	q005	doc005_p006	1	0.18307035
bm25_budgetmv_N50_M24_none	q005	doc004_p005	2	0.16686083
bm25_budgetmv_N50_M24_none	q005	doc004_p010	3	0.14032722
bm25_budgetmv_N50_M24_none	q005	doc009_p003	4	0.12175375
bm25_budgetmv_N50_M24_none	q005	doc006_p008	5	0.11642015
bm25_budgetmv_N50_M24_none	q005	doc006_p013	6	0.09750396
bm25_budgetmv_N50_M24_none	q005	doc005_p004	7	0.09252832
bm25_budgetmv_N50_M24_none	q005	doc004_p003	8	0.08598021
bm25_budgetmv_N50_M24_none	q005	doc006_p016	9	0.08077250
bm25_budgetmv_N50_M24_none	q005	doc004_p009	10	0.06539229
bm25_budgetmv_N50_M24_none	q006	doc004_p005	1	0.43117595
bm25_budgetmv_N50_M24_none	q006	doc005_p004	2	0.37595236
bm25_budgetmv_N50_M24_none	q006	doc006_p013	3	0.36079800
bm25_budgetmv_N50_M24_none	q006	doc004_p003	4	0.35158885
bm25_budgetmv_N50_M24_none	q006	doc004_p009	5	0.32776120
bm25_budgetmv_N50_M24_none	q006	doc005_p006	6	0.31363967
bm25_budgetmv_N50_M24_none	q006	doc004_p011	7	0.29829159
bm25_budgetmv_N50_M24_none	q006	doc004_p002	8	0.29591978
