query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score
q001,doc003_p012,73,0.00000000,1,1.62791789
q001,doc004_p019,16,7.05589500,2,1.23282230
q001,doc006_p008,36,5.43510700,3,1.07069719
q001,doc003_p028,38,5.02680900,4,1.07011628
q001,doc003_p006,67,1.18587600,5,1.06387115
q001,doc004_p015,26,6.32265300,6,1.05938816
q001,doc003_p013,74,0.00000000,7,1.05518103
q001,doc004_p016,42,4.56373600,8,1.03367424
q001,doc006_p013,3,11.74067500,9,1.03309250
q001,doc006_p002,27,6.29075800,10,1.02268279
q001,doc003_p004,8,7.48106200,11,1.01229644
q001,doc003_p002,70,0.00000000,12,1.00672638
q001,doc004_p003,28,6.21405800,13,1.00560760
q001,doc004_p002,65,1.33257300,14,0.99647433
q001,doc001_p002,15,7.07261200,15,0.99378622
q001,doc006_p017,58,1.57139100,16,0.99268728
q001,doc004_p012,61,1.43393500,17,0.98961878
q001,doc009_p003,17,7.03525500,18,0.98625076
q001,doc004_p005,48,3.10327600,19,0.98230082
q001,doc006_p016,20,6.96758700,20,0.98228097
q001,doc006_p019,1,15.05430200,21,0.97452557
q001,doc004_p001,55,1.83927500,22,0.97122431
q001,doc005_p009,9,7.45509900,23,0.97065830
q001,doc005_p003,37,5.37841300,24,0.96944505
q001,doc005_p006,19,6.97912500,25,0.96540755
q001,doc003_p021,31,5.85077200,26,0.96106029
q001,doc004_p011,60,1.43940900,27,0.95952690
q001,doc004_p018,46,3.89828100,28,0.95653301
q001,doc004_p010,33,5.60657400,29,0.95355850
q001,doc004_p006,64,1.36144400,30,0.94669122
q001,doc003_p005,59,1.43940900,31,0.93453836
q001,doc003_p024,83,0.00000000,32,0.92340046
q001,doc003_p020,81,0.00000000,33,0.92325574
q001,doc004_p009,40,4.88125000,34,0.92304498
q001,doc006_p024,96,0.00000000,35,0.92292440
q001,doc006_p012,47,3.40451300,36,0.91472721
q001,doc003_p003,6,9.23528300,37,0.91428292
q001,doc006_p009,7,7.66040700,38,0.90707636
q001,doc003_p027,86,0.00000000,39,0.90671450
q001,doc008_p003,99,0.00000000,40,0.90074247
q001,doc003_p026,85,0.00000000,41,0.89898849
q001,doc003_p025,84,0.00000000,42,0.89637828
q001,doc004_p007,66,1.32788000,43,0.89453769
