run_name	query_id	page_id	rank	score
bm25_fullmv_N10	q001	doc006_p013	1	1.03309250
bm25_fullmv_N10	q001	doc003_p004	2	1.01229644
bm25_fullmv_N10	q001	doc006_p019	3	0.97452557
bm25_fullmv_N10	q001	doc005_p009	4	0.97065830
bm25_fullmv_N10	q001	doc003_p003	5	0.91428292
bm25_fullmv_N10	q001	doc006_p009	6	0.90707636
bm25_fullmv_N10	q001	doc006_p003	7	0.81212556
bm25_fullmv_N10	q001	doc001_p004	8	0.77127963
bm25_fullmv_N10	q001	doc002_p001	9	0.57416475
bm25_fullmv_N10	q001	doc001_p001	10	0.33672112
bm25_fullmv_N10	q002	doc001_p002	1	0.50915086
bm25_fullmv_N10	q002	doc006_p013	2	0.20099561
bm25_fullmv_N10	q002	doc006_p019	3	0.15394033
bm25_fullmv_N10	q002	doc009_p003	4	-0.10809001
bm25_fullmv_N10	q002	doc006_p009	5	-0.11119193
bm25_fullmv_N10	q002	doc006_p003	6	-0.13996091
bm25_fullmv_N10	q002	doc005_p009	7	-0.16305214
bm25_fullmv_N10	q002	doc010_p002	8	-0.21370851
bm25_fullmv_N10	q002	doc001_p005	9	-0.30079967
bm25_fullmv_N10	q002	doc001_p001	10	-0.58200812
bm25_fullmv_N10	q003	doc004_p010	1	-0.13141218
bm25_fullmv_N10	q003	doc006_p013	2	-0.17107475
bm25_fullmv_N10	q003	doc006_p009	3	-0.22645813
bm25_fullmv_N10	q003	doc006_p019	4	-0.27072459
bm25_fullmv_N10	q003	doc005_p009	5	-0.31239980
bm25_fullmv_N10	q003	doc005_p004	6	-0.33205265
bm25_fullmv_N10	q003	doc007_p002	7	-0.35004523
bm25_fullmv_N10	q003	doc005_p001	8	-0.36825460
bm25_fullmv_N10	q003	doc006_p011	9	-0.41315076
bm25_fullmv_N10	q003	doc002_p001	10	-0.77251554
bm25_fullmv_N10	q004	doc005_p006	1	0.68070972
bm25_fullmv_N10	q004	doc004_p010	2	0.65170664
bm25_fullmv_N10	q004	doc006_p013	3	0.64423549
bm25_fullmv_N10	q004	doc005_p004	4	0.59865052
bm25_fullmv_N10	q004	doc006_p019	5	0.51159340
bm25_fullmv_N10	q004	doc006_p026	6	0.42130256
bm25_fullmv_N10	q004	doc006_p014	7	0.39467403
bm25_fullmv_N10	q004	doc010_p001	8	0.35864002
bm25_fullmv_N10	q004	doc006_p003	9	0.34738654
bm25_fullmv_N10	q004	doc001_p004	10	0.33336881
bm25_fullmv_N10	q005	doc001_p002	1	0.39230785
bm25_fullmv_N10	q005	doc004_p010	2	0.19155732
bm25_fullmv_N10	q005	doc006_p013	3	0.16113034
bm25_fullmv_N10	q005	doc006_p019	4	0.07474013
bm25_fullmv_N10	q005	doc005_p009	5	0.07431050
bm25_fullmv_N10	q005	doc010_p002	6	0.06093359
bm25_fullmv_N10	q005	doc007_p002	7	0.03333372
bm25_fullmv_N10	q005	doc006_p011	8	0.01734470
bm25_fullmv_N10	q005	doc006_p026	9	-0.02889634
bm25_fullmv_N10	q005	doc001_p001	10	-0.36839405
bm25_fullmv_N10	q006	doc004_p010	1	0.42580336
bm25_fullmv_N10	q006	doc006_p013	2	0.41562644
bm25_fullmv_N10	q006	doc004_p003	3	0.40281132
bm25_fullmv_N10	q006	doc004_p014	4	0.40200669
bm25_fullmv_N10	q006	doc004_p011	5	0.36536902
bm25_fullmv_N10	q006	doc006_p019	6	0.34780726
bm25_fullmv_N10	q006	doc009_p003	7	0.20975165
bm25_fullmv_N10	q006	doc008_p003	8	0.14389294
bm25_fullmv_N10	q006	doc008_p001	9	0.01751122
bm25_fullmv_N10	q006	doc002_p001	10	-0.04027573
bm25_fullmv_N10	q007	doc006_p013	1	0.36529362
bm25_fullmv_N10	q007	doc006_p019	2	0.36519870
bm25_fullmv_N10	q007	doc006_p016	3	0.24912003
bm25_fullmv_N10	q007	doc006_p008	4	0.24310370
bm25_fullmv_N10	q007	doc005_p009	5	0.18127334
bm25_fullmv_N10	q007	doc006_p005	6	0.18059984
bm25_fullmv_N10	q007	doc006_p009	7	0.14881332
bm25_fullmv_N10	q007	doc005_p008	8	0.09346649
bm25_fullmv_N10	q007	doc010_p002	9	0.09064420
bm25_fullmv_N10	q007	doc002_p001	10	-0.09961462
bm25_fullmv_N10	q008	doc003_p012	1	1.08390713
bm25_fullmv_N10	q008	doc003_p022	2	0.63277966
bm25_fullmv_N10	q008	doc003_p007	3	0.55796361
bm25_fullmv_N10	q008	doc006_p013	4	0.54882151
bm25_fullmv_N10	q008	doc003_p004	5	0.53892052
bm25_fullmv_N10	q008	doc006_p019	6	0.52383798
bm25_fullmv_N10	q008	doc003_p008	7	0.51679122
bm25_fullmv_N10	q008	doc003_p010	8	0.37293151
bm25_fullmv_N10	q008	doc006_p011	9	0.35849819
bm25_fullmv_N10	q008	doc003_p029	10	0.27531031
bm25_fullmv_N10	q009	doc003_p022	1	0.69894534
bm25_fullmv_N10	q009	doc006_p019	2	0.65220094
bm25_fullmv_N10	q009	doc006_p013	3	0.64183205
bm25_fullmv_N10	q009	doc003_p007	4	0.62880611
bm25_fullmv_N10	q009	doc003_p013	5	0.61334509
bm25_fullmv_N10	q009	doc003_p008	6	0.59261864
bm25_fullmv_N10	q009	doc003_p011	7	0.46587867
bm25_fullmv_N10	q009	doc006_p011	8	0.40713251
bm25_fullmv_N10	q009	doc003_p017	9	0.30601180
bm25_fullmv_N10	q009	doc003_p029	10	0.29326153
bm25_fullmv_N10	q010	doc004_p016	1	0.59570181
bm25_fullmv_N10	q010	doc006_p013	2	0.51177353
bm25_fullmv_N10	q010	doc006_p019	3	0.38994613
bm25_fullmv_N10	q010	doc003_p009	4	0.38761508
bm25_fullmv_N10	q010	doc006_p011	5	0.30963799
bm25_fullmv_N10	q010	doc004_p020	6	0.29559681
bm25_fullmv_N10	q010	doc006_p026	7	0.28912741
bm25_fullmv_N10	q010	doc006_p007	8	0.26059559
bm25_fullmv_N10	q010	doc001_p004	9	0.20266186
bm25_fullmv_N10	q010	doc002_p001	10	0.17445496
bm25_fullmv_N10	q011	doc003_p012	1	1.33726823
bm25_fullmv_N10	q011	doc005_p004	2	0.85118842
bm25_fullmv_N10	q011	doc004_p010	3	0.77448893
bm25_fullmv_N10	q011	doc003_p004	4	0.72939289
bm25_fullmv_N10	q011	doc003_p003	5	0.72902656
bm25_fullmv_N10	q011	doc006_p019	6	0.62445945
bm25_fullmv_N10	q011	doc003_p011	7	0.50721484
bm25_fullmv_N10	q011	doc003_p029	8	0.43075544
bm25_fullmv_N10	q011	doc003_p010	9	0.38326907
bm25_fullmv_N10	q011	doc002_p001	10	0.01311940
bm25_fullmv_N10	q012	doc005_p004	1	0.80202037
bm25_fullmv_N10	q012	doc003_p013	2	0.74515909
bm25_fullmv_N10	q012	doc006_p019	3	0.58012593
bm25_fullmv_N10	q012	doc003_p020	4	0.52577531
bm25_fullmv_N10	q012	doc003_p011	5	0.44439799
bm25_fullmv_N10	q012	doc003_p010	6	0.36113769
bm25_fullmv_N10	q012	doc003_p029	7	0.30460969
bm25_fullmv_N10	q012	doc003_p017	8	0.26345253
bm25_fullmv_N10	q012	doc003_p015	9	0.07123137
bm25_fullmv_N10	q012	doc002_p001	10	-0.06638096
bm25_fullmv_N10	q013	doc003_p012	1	1.19222522
bm25_fullmv_N10	q013	doc003_p013	2	0.72466338
bm25_fullmv_N10	q013	doc006_p013	3	0.51252657
bm25_fullmv_N10	q013	doc003_p003	4	0.35482922
bm25_fullmv_N10	q013	doc006_p011	5	0.26945835
bm25_fullmv_N10	q013	doc003_p010	6	0.15249962
bm25_fullmv_N10	q013	doc003_p029	7	0.13285330
bm25_fullmv_N10	q013	doc003_p019	8	0.10945539
bm25_fullmv_N10	q013	doc003_p016	9	0.07431485
bm25_fullmv_N10	q013	doc003_p014	10	0.05723455
bm25_fullmv_N10	q014	doc003_p012	1	1.09869623
bm25_fullmv_N10	q014	doc003_p013	2	0.60722458
bm25_fullmv_N10	q014	doc006_p013	3	0.35089886
bm25_fullmv_N10	q014	doc003_p003	4	0.20730747
bm25_fullmv_N10	q014	doc003_p020	5	0.13938384
bm25_fullmv_N10	q014	doc006_p011	6	0.10798527
bm25_fullmv_N10	q014	doc003_p011	7	0.09736973
bm25_fullmv_N10	q014	doc003_p017	8	-0.05420347
bm25_fullmv_N10	q014	doc003_p015	9	-0.06169652
bm25_fullmv_N10	q014	doc003_p029	10	-0.09017535
bm25_fullmv_N10	q015	doc004_p010	1	0.75267649
bm25_fullmv_N10	q015	doc006_p013	2	0.70411730
bm25_fullmv_N10	q015	doc003_p003	3	0.67950177
bm25_fullmv_N10	q015	doc003_p006	4	0.66925812
bm25_fullmv_N10	q015	doc006_p019	5	0.54184794
bm25_fullmv_N10	q015	doc003_p029	6	0.38458502
bm25_fullmv_N10	q015	doc003_p010	7	0.33245611
bm25_fullmv_N10	q015	doc003_p014	8	0.19070852
bm25_fullmv_N10	q015	doc003_p015	9	0.13518307
bm25_fullmv_N10	q015	doc002_p001	10	-0.03655767
bm25_fullmv_N10	q016	doc006_p013	1	0.69522130
bm25_fullmv_N10	q016	doc003_p013	2	0.68497288
bm25_fullmv_N10	q016	doc003_p006	3	0.68038040
bm25_fullmv_N10	q016	doc006_p019	4	0.54803282
bm25_fullmv_N10	q016	doc003_p011	5	0.47186452
bm25_fullmv_N10	q016	doc003_p029	6	0.33388007
bm25_fullmv_N10	q016	doc003_p017	7	0.25475422
bm25_fullmv_N10	q016	doc003_p014	8	0.14710429
bm25_fullmv_N10	q016	doc003_p015	9	0.09751026
bm25_fullmv_N10	q016	doc002_p001	10	-0.10208221
bm25_fullmv_N10	q017	doc003_p012	1	1.72633147
bm25_fullmv_N10	q017	doc003_p004	2	0.54579073
bm25_fullmv_N10	q017	doc003_p003	3	0.48407167
bm25_fullmv_N10	q017	doc003_p010	4	0.33697090
bm25_fullmv_N10	q017	doc003_p029	5	0.32081240
bm25_fullmv_N10	q017	doc003_p019	6	0.31951284
bm25_fullmv_N10	q017	doc003_p017	7	0.27771854
bm25_fullmv_N10	q017	doc003_p016	8	0.21513385
bm25_fullmv_N10	q017	doc003_p015	9	0.17867333
