query_id,query_type,BM25_nDCG@10,BudgetedMV_nDCG@10,Delta_nDCG@10,BM25_Recall@10,BudgetedMV_Recall@10,Delta_Recall@10,BM25_MRR@10,BudgetedMV_MRR@10,Delta_MRR@10
q001,parameter_lookup,0.6309,0.0000,-0.6309,1.0000,0.0000,-1.0000,0.5000,0.0000,-0.5000
q002,structure_legend_interpretation,0.6309,0.3562,-0.2747,1.0000,1.0000,0.0000,0.5000,0.1667,-0.3333
q003,component_localization,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q004,structure_legend_interpretation,1.0000,0.0000,-1.0000,1.0000,0.0000,-1.0000,1.0000,0.0000,-1.0000
q005,component_localization,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q006,cross_page_consistency,1.0000,0.0000,-1.0000,1.0000,0.0000,-1.0000,1.0000,0.0000,-1.0000
q007,parameter_lookup,0.6309,0.0000,-0.6309,1.0000,0.0000,-1.0000,0.5000,0.0000,-0.5000
q008,structure_legend_interpretation,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000
q009,similarity_based_interference,1.0000,0.3562,-0.6438,1.0000,1.0000,0.0000,1.0000,0.1667,-0.8333
q010,structure_legend_interpretation,0.5000,0.4307,-0.0693,1.0000,1.0000,0.0000,0.3333,0.2500,-0.0833
q011,similarity_based_interference,0.6309,0.0000,-0.6309,1.0000,0.0000,-1.0000,0.5000,0.0000,-0.5000
q012,similarity_based_interference,0.6309,0.0000,-0.6309,1.0000,0.0000,-1.0000,0.5000,0.0000,-0.5000
q013,similarity_based_interference,0.6309,0.0000,-0.6309,1.0000,0.0000,-1.0000,0.5000,0.0000,-0.5000
q014,similarity_based_interference,0.6309,0.0000,-0.6309,1.0000,0.0000,-1.0000,0.5000,0.0000,-0.5000
q015,similarity_based_interference,0.6309,0.0000,-0.6309,1.0000,0.0000,-1.0000,0.5000,0.0000,-0.5000
q016,similarity_based_interference,0.6309,0.0000,-0.6309,1.0000,0.0000,-1.0000,0.5000,0.0000,-0.5000
q017,similarity_based_interference,0.6309,0.0000,-0.6309,1.0000,0.0000,-1.0000,0.5000,0.0000,-0.5000
q018,similarity_based_interference,0.6309,0.2891,-0.3419,1.0000,1.0000,0.0000,0.5000,0.1000,-0.4000
q019,structure_legend_interpretation,0.2891,0.2891,0.0000,1.0000,1.0000,0.0000,0.1000,0.1000,0.0000
q020,similarity_based_interference,0.5000,0.2891,-0.2109,1.0000,1.0000,0.0000,0.3333,0.1000,-0.2333
q021,similarity_based_interference,0.6309,0.3333,-0.2976,1.0000,1.0000,0.0000,0.5000,0.1429,-0.3571
q022,similarity_based_interference,0.5000,0.3333,-0.1667,1.0000,1.0000,0.0000,0.3333,0.1429,-0.1905
q023,similarity_based_interference,0.3010,0.0000,-0.3010,1.0000,0.0000,-1.0000,0.1111,0.0000,-0.1111
q024,similarity_based_interference,0.5000,0.0000,-0.5000,1.0000,0.0000,-1.0000,0.3333,0.0000,-0.3333
q025,similarity_based_interference,0.2891,0.3869,0.0978,1.0000,1.0000,0.0000,0.1000,0.2000,0.1000
q026,similarity_based_interference,0.2891,0.6309,0.3419,1.0000,1.0000,0.0000,0.1000,0.5000,0.4000
q027,similarity_based_interference,0.3155,0.0000,-0.3155,1.0000,0.0000,-1.0000,0.1250,0.0000,-0.1250
q028,cross_page_consistency,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
q029,cross_page_consistency,0.3066,0.0000,-0.3066,0.5000,0.0000,-0.5000,0.3333,0.0000,-0.3333
q030,cross_page_consistency,0.3618,0.0000,-0.3618,1.0000,0.0000,-1.0000,0.1111,0.0000,-0.1111
