Method,Setting,Alpha,Recall@1,Recall@5,Recall@10,MRR@10,nDCG@10,Queries,Run File
Hybrid Full MV N=50,hybrid_fullmv_N50,0.0,0.0667,0.1000,0.1333,0.0881,0.0988,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p0_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,0.1,0.0667,0.1333,0.1667,0.0992,0.1155,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p1_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,0.2,0.0667,0.2000,0.2000,0.1278,0.1464,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p2_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,0.3,0.0667,0.3000,0.4333,0.1675,0.2289,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p3_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,0.4,0.1333,0.4000,0.6167,0.2555,0.3389,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p4_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,0.5,0.2333,0.5833,0.6833,0.3649,0.4399,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p5_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,0.6,0.2333,0.6500,0.7500,0.3971,0.4803,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p6_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,0.7,0.2333,0.6833,0.7500,0.4356,0.5113,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p7_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,0.8,0.1667,0.6833,0.7667,0.4056,0.4926,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p8_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,0.9,0.1333,0.6833,0.8167,0.4038,0.5048,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p9_run.tsv
Hybrid Full MV N=50,hybrid_fullmv_N50,1.0,0.1333,0.6833,0.8833,0.4105,0.5241,30,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.0,0.0000,0.0333,0.1000,0.0170,0.0359,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p0_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.1,0.0000,0.1000,0.2000,0.0448,0.0804,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p1_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.2,0.0333,0.1667,0.3333,0.0931,0.1474,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p2_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.3,0.1000,0.3333,0.4000,0.1979,0.2465,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p3_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.4,0.2000,0.4333,0.5000,0.2903,0.3408,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p4_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.5,0.3000,0.5000,0.6333,0.3846,0.4432,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p5_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.6,0.2000,0.6333,0.7000,0.3909,0.4674,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p6_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.7,0.1333,0.6667,0.7333,0.3728,0.4630,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p7_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.8,0.1667,0.6833,0.8000,0.4112,0.5054,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p8_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,0.9,0.1333,0.6833,0.8333,0.4087,0.5099,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p9_run.tsv
Hybrid Budgeted MV N=50 M=24,hybrid_budgetmv_N50_M24,1.0,0.1333,0.6833,0.8833,0.4105,0.5241,30,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv
