run_name	query_id	page_id	rank	score
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc006_p008	1	0.92000764
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc004_p019	2	0.90008441
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc006_p002	3	0.88337870
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc006_p013	4	0.88297443
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc005_p006	5	0.84472967
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc004_p003	6	0.83569255
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc003_p028	7	0.83199887
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc009_p003	8	0.82839473
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc004_p005	9	0.81705783
hybrid_budgetmv_N50_M24_alpha0p1	q001	doc003_p004	10	0.80985526
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc005_p006	1	0.92802762
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc004_p014	2	0.90427352
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc006_p013	3	0.86430509
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc004_p005	4	0.85476142
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc004_p003	5	0.82529198
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc004_p019	6	0.80291690
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc001_p002	7	0.79412443
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc004_p010	8	0.78860096
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc004_p009	9	0.76742915
hybrid_budgetmv_N50_M24_alpha0p1	q002	doc006_p002	10	0.76192070
hybrid_budgetmv_N50_M24_alpha0p1	q003	doc005_p006	1	0.94854332
hybrid_budgetmv_N50_M24_alpha0p1	q003	doc004_p010	2	0.86152222
hybrid_budgetmv_N50_M24_alpha0p1	q003	doc006_p013	3	0.85006581
hybrid_budgetmv_N50_M24_alpha0p1	q003	doc006_p016	4	0.82134407
hybrid_budgetmv_N50_M24_alpha0p1	q003	doc004_p003	5	0.78104736
hybrid_budgetmv_N50_M24_alpha0p1	q003	doc003_p021	6	0.78002280
hybrid_budgetmv_N50_M24_alpha0p1	q003	doc003_p004	7	0.77913635
hybrid_budgetmv_N50_M24_alpha0p1	q003	doc004_p009	8	0.77505660
hybrid_budgetmv_N50_M24_alpha0p1	q003	doc009_p003	9	0.77150976
