query_id,page_id,coarse_rank,fine_rank,bm25_score_raw,mv_score_raw,bm25_score_norm,mv_score_norm,alpha,hybrid_score,hybrid_rank
q001,doc006_p019,1,36,15.05430200,0.72071749,1.00000000,0.67281094,0.5,0.83640547,1
q001,doc006_p013,3,7,11.74067500,0.96380454,0.72444180,0.90058917,0.5,0.81251549,2
q001,doc004_p019,16,2,7.05589500,1.03028953,0.33485977,0.96288715,0.5,0.64887346,3
q001,doc003_p003,6,27,9.23528300,0.80018252,0.51609569,0.74727153,0.5,0.63168361,4
q001,doc001_p004,4,32,9.66284400,0.76038694,0.55165127,0.70998214,0.5,0.63081670,5
q001,doc006_p003,5,31,9.28121700,0.76343638,0.51991552,0.71283954,0.5,0.61637753,6
q001,doc005_p006,19,6,6.97912500,0.96540755,0.32847565,0.90209123,0.5,0.61528344,7
q001,doc003_p004,8,10,7.48106200,0.91910434,0.37021627,0.85870404,0.5,0.61446015,8
q001,doc006_p002,27,3,6.29075800,1.01802504,0.27123168,0.95139504,0.5,0.61131336,9
q001,doc009_p003,17,9,7.03525500,0.94548428,0.33314337,0.88342266,0.5,0.60828302,10
q001,doc006_p008,36,1,5.43510700,1.06989670,0.20007652,0.99999999,0.5,0.60003825,11
q001,doc006_p016,20,11,6.96758700,0.90652138,0.32751616,0.84691351,0.5,0.58721484,12
q001,doc004_p003,28,8,6.21405800,0.96223569,0.26485338,0.89911912,0.5,0.58198625,13
q001,doc001_p001,2,47,13.69148500,0.26604766,0.88666938,0.24677473,0.5,0.56672205,14
q001,doc006_p009,7,30,7.66040700,0.77192104,0.38513044,0.72078986,0.5,0.55296015,15
q001,doc005_p004,13,21,7.16875400,0.81487769,0.34424502,0.76104124,0.5,0.55264313,16
q001,doc007_p001,12,22,7.18752500,0.81254774,0.34580600,0.75885803,0.5,0.55233201,17
q001,doc010_p002,18,19,7.00748000,0.82680643,0.33083363,0.77221875,0.5,0.55152619,18
q001,doc003_p028,38,5,5.02680900,0.96956313,0.16612283,0.90598510,0.5,0.53605397,19
q001,doc006_p026,23,25,6.63891800,0.80141008,0.30018435,0.74842178,0.5,0.52430307,20
q001,doc003_p021,31,15,5.85077200,0.86285663,0.23464284,0.80599863,0.5,0.52032073,21
q001,doc004_p015,26,20,6.32265300,0.81589127,0.27388404,0.76199099,0.5,0.51793752,22
q001,doc006_p006,22,29,6.74361900,0.77199537,0.30889119,0.72085951,0.5,0.51487535,23
q001,doc005_p003,37,13,5.37841300,0.88296777,0.19536190,0.82484323,0.5,0.51010257,24
q001,doc006_p005,30,24,5.97722600,0.81090236,0.24515864,0.75731627,0.5,0.50123746,25
q001,doc004_p010,33,18,5.60657400,0.83176959,0.21433556,0.77686935,0.5,0.49560245,26
q001,doc004_p009,40,12,4.88125000,0.89540887,0.15401828,0.83650083,0.5,0.49525955,27
q001,doc010_p001,14,38,7.13687100,0.67450720,0.34159366,0.62951083,0.5,0.48555224,28
q001,doc004_p014,25,37,6.51815400,0.71634847,0.29014172,0.66871707,0.5,0.47942940,29
q001,doc007_p002,34,28,5.60572000,0.79237735,0.21426454,0.73995790,0.5,0.47711122,30
q001,doc006_p007,32,34,5.75124000,0.75923347,0.22636585,0.70890131,0.5,0.46763358,31
q001,doc004_p005,48,4,3.10327600,0.97081399,0.00616359,0.90715719,0.5,0.45666039,32
q001,doc005_p001,35,35,5.44825800,0.74445653,0.20117015,0.69505498,0.5,0.44811256,33
q001,doc006_p010,45,14,3.99528800,0.86993396,0.08034249,0.81263025,0.5,0.44648637,34
q001,doc004_p016,42,23,4.56373600,0.81167310,0.12761411,0.75803847,0.5,0.44282629,35
q001,doc006_p004,41,26,4.68427600,0.80089384,0.13763810,0.74793805,0.5,0.44278808,36
q001,doc004_p018,46,16,3.89828100,0.84091711,0.07227548,0.78544079,0.5,0.42885814,37
q001,doc005_p009,9,42,7.45509900,0.51936036,0.36805721,0.48413463,0.5,0.42609592,38
q001,doc005_p002,50,17,3.02915800,0.84058034,0.00000000,0.78512522,0.5,0.39256261,39
q001,doc006_p011,39,40,4.91621300,0.64631355,0.15692577,0.60309272,0.5,0.38000924,40
q001,doc006_p014,29,43,5.98329900,0.51455772,0.24566367,0.47963444,0.5,0.36264905,41
q001,doc003_p001,49,33,3.09011000,0.76033294,0.00506871,0.70993154,0.5,0.35750013,42
q001,doc006_p027,44,39,4.01557900,0.66211665,0.08202987,0.61790059,0.5,0.34996523,43
q001,doc001_p002,15,45,7.07261200,0.34494668,0.33624994,0.32070495,0.5,0.32847744,44
q001,doc006_p012,47,41,3.40451300,0.62107038,0.03121418,0.57943928,0.5,0.30532673,45
q001,doc006_p015,24,46,6.58028900,0.32992417,0.29530881,0.30662851,0.5,0.30096866,46
q001,doc004_p013,43,44,4.51841100,0.39915845,0.12384492,0.37150264,0.5,0.24767378,47
q001,doc001_p005,11,48,7.20829400,0.06587504,0.34753314,0.05920833,0.5,0.20337074,48
q001,doc002_p001,10,49,7.24297300,0.00491118,0.35041701,0.00208377,0.5,0.17625039,49
q001,doc001_p003,21,50,6.87130300,0.00268736,0.31950927,0.00000000,0.5,0.15975464,50
q002,doc001_p002,2,12,11.74635400,-0.11717981,0.84083502,0.78893436,0.5,0.81488469,1
q002,doc006_p013,4,4,8.99068500,-0.02975273,0.59257847,0.89449694,0.5,0.74353771,2
q002,doc004_p014,14,2,6.51815400,0.02752504,0.36982966,0.96365617,0.5,0.66674292,3
q002,doc005_p006,21,1,5.52410400,0.05762504,0.28027630,0.99999999,0.5,0.64013814,4
q002,doc004_p003,16,5,6.21405800,-0.04263462,0.34243383,0.87894289,0.5,0.61068836,5
q002,doc006_p003,8,16,7.42036200,-0.15834618,0.45110903,0.73922861,0.5,0.59516882,6
q002,doc004_p019,18,6,6.10186400,-0.06229459,0.33232634,0.85520474,0.5,0.59376554,7
q002,doc009_p003,9,13,7.03525500,-0.13392670,0.41641497,0.76871357,0.5,0.59256427,8
q002,doc006_p019,3,42,10.97743200,-0.43248096,0.77156330,0.40822848,0.5,0.58989589,9
q002,doc006_p016,11,15,6.96758700,-0.14564320,0.41031880,0.75456665,0.5,0.58244272,10
q002,doc006_p002,15,9,6.29075800,-0.10158624,0.34934369,0.80776259,0.5,0.57855314,11
q002,doc004_p010,19,7,5.60657400,-0.07136238,0.28770597,0.84425596,0.5,0.56598097,12
q002,doc003_p003,12,20,6.81874500,-0.19477808,0.39690972,0.69523943,0.5,0.54607458,13
q002,doc005_p001,22,11,5.44825800,-0.10866143,0.27344338,0.79921976,0.5,0.53633157,14
q002,doc001_p001,1,48,13.51309900,-0.72763181,1.00000000,0.05185279,0.5,0.52592640,15
q002,doc004_p009,27,8,4.88125000,-0.08483208,0.22236197,0.82799217,0.5,0.52517707,16
q002,doc006_p009,6,34,7.66040700,-0.29644543,0.47273454,0.57248264,0.5,0.52260859,17
q002,doc010_p002,10,26,7.00748000,-0.24897420,0.41391274,0.62980110,0.5,0.52185692,18
q002,doc004_p005,44,3,3.10327600,0.01027298,0.06218537,0.94282542,0.5,0.50250540,19
q002,doc005_p009,7,41,7.45509900,-0.40448886,0.45423846,0.44202714,0.5,0.44813280,20
q002,doc004_p016,31,19,4.56373600,-0.19123067,0.19375733,0.69952270,0.5,0.44664002,21
q002,doc003_p028,24,23,5.02680900,-0.22792749,0.23547529,0.65521365,0.5,0.44534447,22
q002,doc006_p004,28,21,4.68427600,-0.21464477,0.20461670,0.67125168,0.5,0.43793419,23
q002,doc006_p006,13,40,6.74361900,-0.38268170,0.39014166,0.46835788,0.5,0.42924977,24
q002,doc005_p002,46,10,3.02915800,-0.10720829,0.05550813,0.80097433,0.5,0.42824123,25
q002,doc006_p010,34,18,3.99528800,-0.18286955,0.14254619,0.70961822,0.5,0.42608220,26
q002,doc003_p021,40,17,3.55767900,-0.16436058,0.10312226,0.73196661,0.5,0.41754443,27
q002,doc007_p002,20,37,5.60572000,-0.32147488,0.28762903,0.54226119,0.5,0.41494511,28
q002,doc004_p015,23,33,5.10432800,-0.29506707,0.24245893,0.57414692,0.5,0.40830292,29
q002,doc004_p018,35,22,3.89828100,-0.21643823,0.13380689,0.66908619,0.5,0.40144654,30
q002,doc005_p004,33,27,4.23015200,-0.25263837,0.16370495,0.62537685,0.5,0.39454090,31
q002,doc004_p013,32,30,4.51841100,-0.28319079,0.18967403,0.58848677,0.5,0.38908040,32
q002,doc006_p026,30,32,4.61000500,-0.29364049,0.19792567,0.57586943,0.5,0.38689755,33
q002,doc003_p004,50,14,2.41301300,-0.14283535,0.00000000,0.75795694,0.5,0.37897847,34
q002,doc007_p001,39,28,3.57438000,-0.25771162,0.10462685,0.61925123,0.5,0.36193904,35
q002,doc006_p005,36,29,3.81955400,-0.27933228,0.12671442,0.59314567,0.5,0.35993004,36
q002,doc006_p011,25,39,4.91621300,-0.37344921,0.22551177,0.47950552,0.5,0.35250865,37
q002,doc003_p001,45,25,3.09011000,-0.24889629,0.06099926,0.62989517,0.5,0.34544721,38
q002,doc006_p014,41,36,3.50548700,-0.30955195,0.09842032,0.55665736,0.5,0.32753884,39
q002,doc005_p003,48,24,2.53551500,-0.23947476,0.01103613,0.64127106,0.5,0.32615360,40
q002,doc006_p007,43,35,3.40279900,-0.30611691,0.08916922,0.56080495,0.5,0.32498708,41
q002,doc001_p005,5,47,8.43588400,-0.71235657,0.54259679,0.07029666,0.5,0.30644673,42
q002,doc010_p001,38,38,3.63680400,-0.35938263,0.11025059,0.49649001,0.5,0.30337030,43
q002,doc004_p020,47,31,2.67277500,-0.28935850,0.02340180,0.58103965,0.5,0.30222073,44
q002,doc001_p004,26,43,4.89258100,-0.46761060,0.22338277,0.36581169,0.5,0.29459723,45
q002,doc002_p001,17,49,6.19127200,-0.74214625,0.34038106,0.03432753,0.5,0.18735430,46
