run_name	query_id	page_id	rank	score
hybrid_fullmv_N50_alpha0p3	q001	doc006_p019	1	0.81336904
hybrid_fullmv_N50_alpha0p3	q001	doc004_p019	2	0.80045792
hybrid_fullmv_N50_alpha0p3	q001	doc006_p013	3	0.77301881
hybrid_fullmv_N50_alpha0p3	q001	doc004_p015	4	0.65685128
hybrid_fullmv_N50_alpha0p3	q001	doc003_p004	5	0.65172507
hybrid_fullmv_N50_alpha0p3	q001	doc006_p008	6	0.64288030
hybrid_fullmv_N50_alpha0p3	q001	doc003_p028	7	0.63227446
hybrid_fullmv_N50_alpha0p3	q001	doc006_p002	8	0.62953430
hybrid_fullmv_N50_alpha0p3	q001	doc001_p002	9	0.62816071
hybrid_fullmv_N50_alpha0p3	q001	doc003_p003	10	0.62466974
hybrid_fullmv_N50_alpha0p3	q002	doc001_p002	1	0.95225050
hybrid_fullmv_N50_alpha0p3	q002	doc006_p019	2	0.70359443
hybrid_fullmv_N50_alpha0p3	q002	doc006_p013	3	0.68008587
hybrid_fullmv_N50_alpha0p3	q002	doc004_p014	4	0.57327375
hybrid_fullmv_N50_alpha0p3	q002	doc004_p016	5	0.52723113
hybrid_fullmv_N50_alpha0p3	q002	doc005_p006	6	0.49442014
hybrid_fullmv_N50_alpha0p3	q002	doc004_p019	7	0.48735019
hybrid_fullmv_N50_alpha0p3	q002	doc004_p003	8	0.48734166
hybrid_fullmv_N50_alpha0p3	q002	doc004_p010	9	0.47134997
hybrid_fullmv_N50_alpha0p3	q002	doc004_p013	10	0.45801639
hybrid_fullmv_N50_alpha0p3	q003	doc001_p002	1	0.75907351
hybrid_fullmv_N50_alpha0p3	q003	doc006_p019	2	0.65661075
hybrid_fullmv_N50_alpha0p3	q003	doc006_p013	3	0.65046482
hybrid_fullmv_N50_alpha0p3	q003	doc004_p010	4	0.63714425
hybrid_fullmv_N50_alpha0p3	q003	doc005_p006	5	0.63393021
hybrid_fullmv_N50_alpha0p3	q003	doc004_p016	6	0.60178443
hybrid_fullmv_N50_alpha0p3	q003	doc006_p009	7	0.59247700
hybrid_fullmv_N50_alpha0p3	q003	doc007_p002	8	0.56600634
hybrid_fullmv_N50_alpha0p3	q003	doc004_p014	9	0.55483711
hybrid_fullmv_N50_alpha0p3	q003	doc004_p003	10	0.54202354
hybrid_fullmv_N50_alpha0p3	q004	doc001_p002	1	0.74350813
hybrid_fullmv_N50_alpha0p3	q004	doc005_p006	2	0.64879765
hybrid_fullmv_N50_alpha0p3	q004	doc004_p010	3	0.63053195
hybrid_fullmv_N50_alpha0p3	q004	doc006_p013	4	0.62233995
hybrid_fullmv_N50_alpha0p3	q004	doc001_p004	5	0.62156986
hybrid_fullmv_N50_alpha0p3	q004	doc004_p016	6	0.62013492
hybrid_fullmv_N50_alpha0p3	q004	doc004_p003	7	0.61671300
hybrid_fullmv_N50_alpha0p3	q004	doc004_p018	8	0.61090294
hybrid_fullmv_N50_alpha0p3	q004	doc004_p009	9	0.60915305
hybrid_fullmv_N50_alpha0p3	q004	doc006_p019	10	0.60466239
hybrid_fullmv_N50_alpha0p3	q005	doc001_p002	1	0.82353857
hybrid_fullmv_N50_alpha0p3	q005	doc006_p013	2	0.67538762
hybrid_fullmv_N50_alpha0p3	q005	doc004_p010	3	0.65563230
hybrid_fullmv_N50_alpha0p3	q005	doc006_p019	4	0.65189302
hybrid_fullmv_N50_alpha0p3	q005	doc004_p016	5	0.64090999
hybrid_fullmv_N50_alpha0p3	q005	doc005_p006	6	0.62927861
hybrid_fullmv_N50_alpha0p3	q005	doc006_p026	7	0.61240673
hybrid_fullmv_N50_alpha0p3	q005	doc004_p015	8	0.55362008
hybrid_fullmv_N50_alpha0p3	q005	doc004_p003	9	0.54752735
hybrid_fullmv_N50_alpha0p3	q005	doc006_p011	10	0.54013797
hybrid_fullmv_N50_alpha0p3	q006	doc003_p012	1	0.69999999
hybrid_fullmv_N50_alpha0p3	q006	doc003_p013	2	0.51419876
hybrid_fullmv_N50_alpha0p3	q006	doc004_p011	3	0.50241233
hybrid_fullmv_N50_alpha0p3	q006	doc004_p003	4	0.45240041
hybrid_fullmv_N50_alpha0p3	q006	doc002_p001	5	0.44262107
hybrid_fullmv_N50_alpha0p3	q006	doc006_p013	6	0.44091689
hybrid_fullmv_N50_alpha0p3	q006	doc006_p019	7	0.43729300
hybrid_fullmv_N50_alpha0p3	q006	doc004_p010	8	0.43629777
hybrid_fullmv_N50_alpha0p3	q006	doc004_p014	9	0.43095190
hybrid_fullmv_N50_alpha0p3	q006	doc004_p019	10	0.40877521
hybrid_fullmv_N50_alpha0p3	q007	doc006_p019	1	0.91150196
hybrid_fullmv_N50_alpha0p3	q007	doc004_p019	2	0.76372293
hybrid_fullmv_N50_alpha0p3	q007	doc004_p015	3	0.74569227
hybrid_fullmv_N50_alpha0p3	q007	doc006_p002	4	0.73968648
hybrid_fullmv_N50_alpha0p3	q007	doc004_p003	5	0.73186355
hybrid_fullmv_N50_alpha0p3	q007	doc006_p013	6	0.73005154
hybrid_fullmv_N50_alpha0p3	q007	doc004_p016	7	0.70349731
hybrid_fullmv_N50_alpha0p3	q007	doc004_p013	8	0.69177156
hybrid_fullmv_N50_alpha0p3	q007	doc004_p014	9	0.68400539
hybrid_fullmv_N50_alpha0p3	q007	doc005_p006	10	0.67829302
hybrid_fullmv_N50_alpha0p3	q008	doc003_p012	1	0.79107598
hybrid_fullmv_N50_alpha0p3	q008	doc003_p007	2	0.63926353
hybrid_fullmv_N50_alpha0p3	q008	doc003_p022	3	0.57806057
hybrid_fullmv_N50_alpha0p3	q008	doc003_p008	4	0.57464823
hybrid_fullmv_N50_alpha0p3	q008	doc005_p002	5	0.50642018
hybrid_fullmv_N50_alpha0p3	q008	doc005_p006	6	0.49888927
hybrid_fullmv_N50_alpha0p3	q008	doc005_p004	7	0.44743871
hybrid_fullmv_N50_alpha0p3	q008	doc003_p004	8	0.44027012
hybrid_fullmv_N50_alpha0p3	q008	doc006_p013	9	0.43516290
hybrid_fullmv_N50_alpha0p3	q008	doc004_p010	10	0.43176450
hybrid_fullmv_N50_alpha0p3	q009	doc003_p012	1	0.73616029
hybrid_fullmv_N50_alpha0p3	q009	doc003_p008	2	0.62996069
hybrid_fullmv_N50_alpha0p3	q009	doc003_p007	3	0.61349884
hybrid_fullmv_N50_alpha0p3	q009	doc003_p022	4	0.54523455
hybrid_fullmv_N50_alpha0p3	q009	doc005_p002	5	0.51553244
hybrid_fullmv_N50_alpha0p3	q009	doc005_p006	6	0.50364979
hybrid_fullmv_N50_alpha0p3	q009	doc006_p019	7	0.48390877
hybrid_fullmv_N50_alpha0p3	q009	doc005_p004	8	0.46577408
hybrid_fullmv_N50_alpha0p3	q009	doc006_p013	9	0.46504484
hybrid_fullmv_N50_alpha0p3	q009	doc003_p004	10	0.45441604
hybrid_fullmv_N50_alpha0p3	q010	doc004_p016	1	0.86472022
hybrid_fullmv_N50_alpha0p3	q010	doc006_p019	2	0.78922526
hybrid_fullmv_N50_alpha0p3	q010	doc004_p010	3	0.75741314
hybrid_fullmv_N50_alpha0p3	q010	doc005_p004	4	0.75717647
hybrid_fullmv_N50_alpha0p3	q010	doc005_p006	5	0.73174585
hybrid_fullmv_N50_alpha0p3	q010	doc006_p013	6	0.71649131
hybrid_fullmv_N50_alpha0p3	q010	doc004_p015	7	0.71256506
hybrid_fullmv_N50_alpha0p3	q010	doc001_p002	8	0.69721634
hybrid_fullmv_N50_alpha0p3	q010	doc004_p018	9	0.68571562
hybrid_fullmv_N50_alpha0p3	q010	doc003_p009	10	0.68030595
hybrid_fullmv_N50_alpha0p3	q011	doc003_p012	1	0.82584479
hybrid_fullmv_N50_alpha0p3	q011	doc003_p004	2	0.64595183
hybrid_fullmv_N50_alpha0p3	q011	doc005_p004	3	0.64484507
hybrid_fullmv_N50_alpha0p3	q011	doc005_p006	4	0.63533018
hybrid_fullmv_N50_alpha0p3	q011	doc003_p029	5	0.62962920
hybrid_fullmv_N50_alpha0p3	q011	doc004_p010	6	0.59808837
hybrid_fullmv_N50_alpha0p3	q011	doc004_p019	7	0.57967402
hybrid_fullmv_N50_alpha0p3	q011	doc003_p003	8	0.57838671
hybrid_fullmv_N50_alpha0p3	q011	doc006_p019	9	0.56539302
hybrid_fullmv_N50_alpha0p3	q011	doc003_p010	10	0.56055180
hybrid_fullmv_N50_alpha0p3	q012	doc003_p012	1	0.73210918
hybrid_fullmv_N50_alpha0p3	q012	doc005_p004	2	0.61636087
hybrid_fullmv_N50_alpha0p3	q012	doc003_p013	3	0.59450473
hybrid_fullmv_N50_alpha0p3	q012	doc005_p006	4	0.58992119
hybrid_fullmv_N50_alpha0p3	q012	doc003_p011	5	0.58793071
hybrid_fullmv_N50_alpha0p3	q012	doc003_p029	6	0.58398142
hybrid_fullmv_N50_alpha0p3	q012	doc004_p010	7	0.55417629
hybrid_fullmv_N50_alpha0p3	q012	doc003_p004	8	0.54992217
hybrid_fullmv_N50_alpha0p3	q012	doc003_p003	9	0.54894345
hybrid_fullmv_N50_alpha0p3	q012	doc006_p019	10	0.54165030
hybrid_fullmv_N50_alpha0p3	q013	doc003_p012	1	0.93752310
hybrid_fullmv_N50_alpha0p3	q013	doc003_p013	2	0.65554140
hybrid_fullmv_N50_alpha0p3	q013	doc006_p013	3	0.51128167
hybrid_fullmv_N50_alpha0p3	q013	doc003_p029	4	0.50258333
hybrid_fullmv_N50_alpha0p3	q013	doc004_p014	5	0.46901633
hybrid_fullmv_N50_alpha0p3	q013	doc004_p010	6	0.44468370
hybrid_fullmv_N50_alpha0p3	q013	doc003_p003	7	0.42390845
hybrid_fullmv_N50_alpha0p3	q013	doc004_p019	8	0.42097062
hybrid_fullmv_N50_alpha0p3	q013	doc003_p004	9	0.41463838
hybrid_fullmv_N50_alpha0p3	q013	doc004_p015	10	0.41041963
hybrid_fullmv_N50_alpha0p3	q014	doc003_p012	1	0.84835695
hybrid_fullmv_N50_alpha0p3	q014	doc003_p013	2	0.74185097
hybrid_fullmv_N50_alpha0p3	q014	doc006_p013	3	0.50150444
hybrid_fullmv_N50_alpha0p3	q014	doc003_p029	4	0.48494421
hybrid_fullmv_N50_alpha0p3	q014	doc004_p014	5	0.44708423
hybrid_fullmv_N50_alpha0p3	q014	doc001_p002	6	0.43877949
hybrid_fullmv_N50_alpha0p3	q014	doc003_p003	7	0.43151919
hybrid_fullmv_N50_alpha0p3	q014	doc004_p010	8	0.42056062
hybrid_fullmv_N50_alpha0p3	q014	doc003_p011	9	0.41027594
hybrid_fullmv_N50_alpha0p3	q014	doc004_p019	10	0.41009601
hybrid_fullmv_N50_alpha0p3	q015	doc003_p012	1	0.82584479
hybrid_fullmv_N50_alpha0p3	q015	doc003_p029	2	0.65574574
hybrid_fullmv_N50_alpha0p3	q015	doc006_p013	3	0.63469155
hybrid_fullmv_N50_alpha0p3	q015	doc004_p010	4	0.63097419
hybrid_fullmv_N50_alpha0p3	q015	doc005_p006	5	0.62843490
hybrid_fullmv_N50_alpha0p3	q015	doc003_p006	6	0.62699532
hybrid_fullmv_N50_alpha0p3	q015	doc003_p003	7	0.60058287
hybrid_fullmv_N50_alpha0p3	q015	doc004_p019	8	0.59285996
hybrid_fullmv_N50_alpha0p3	q015	doc005_p004	9	0.58926129
hybrid_fullmv_N50_alpha0p3	q015	doc003_p004	10	0.58356445
hybrid_fullmv_N50_alpha0p3	q016	doc003_p012	1	0.73210918
hybrid_fullmv_N50_alpha0p3	q016	doc003_p029	2	0.64414913
hybrid_fullmv_N50_alpha0p3	q016	doc003_p006	3	0.62896380
hybrid_fullmv_N50_alpha0p3	q016	doc006_p013	4	0.62870259
hybrid_fullmv_N50_alpha0p3	q016	doc003_p013	5	0.61779922
hybrid_fullmv_N50_alpha0p3	q016	doc004_p010	6	0.60478385
hybrid_fullmv_N50_alpha0p3	q016	doc005_p006	7	0.60346281
hybrid_fullmv_N50_alpha0p3	q016	doc003_p003	8	0.59536427
hybrid_fullmv_N50_alpha0p3	q016	doc005_p004	9	0.58555534
hybrid_fullmv_N50_alpha0p3	q016	doc006_p019	10	0.57664695
hybrid_fullmv_N50_alpha0p3	q017	doc003_p012	1	0.82078589
hybrid_fullmv_N50_alpha0p3	q017	doc003_p013	2	0.55258860
hybrid_fullmv_N50_alpha0p3	q017	doc003_p029	3	0.54647811
hybrid_fullmv_N50_alpha0p3	q017	doc001_p002	4	0.46928575
hybrid_fullmv_N50_alpha0p3	q017	doc003_p003	5	0.46920597
hybrid_fullmv_N50_alpha0p3	q017	doc003_p004	6	0.45253390
hybrid_fullmv_N50_alpha0p3	q017	doc005_p006	7	0.43917845
hybrid_fullmv_N50_alpha0p3	q017	doc004_p018	8	0.43321924
hybrid_fullmv_N50_alpha0p3	q017	doc005_p004	9	0.42800384
hybrid_fullmv_N50_alpha0p3	q017	doc003_p016	10	0.42637530
hybrid_fullmv_N50_alpha0p3	q018	doc003_p012	1	0.83191863
hybrid_fullmv_N50_alpha0p3	q018	doc003_p013	2	0.62486998
hybrid_fullmv_N50_alpha0p3	q018	doc003_p029	3	0.54030233
hybrid_fullmv_N50_alpha0p3	q018	doc003_p004	4	0.51031661
hybrid_fullmv_N50_alpha0p3	q018	doc003_p003	5	0.48497141
hybrid_fullmv_N50_alpha0p3	q018	doc003_p020	6	0.48177617
hybrid_fullmv_N50_alpha0p3	q018	doc001_p002	7	0.46660403
hybrid_fullmv_N50_alpha0p3	q018	doc003_p011	8	0.45684220
hybrid_fullmv_N50_alpha0p3	q018	doc005_p006	9	0.45146449
hybrid_fullmv_N50_alpha0p3	q018	doc004_p018	10	0.45062505
hybrid_fullmv_N50_alpha0p3	q019	doc003_p012	1	0.75696100
hybrid_fullmv_N50_alpha0p3	q019	doc006_p013	2	0.48558896
hybrid_fullmv_N50_alpha0p3	q019	doc004_p019	3	0.45417012
hybrid_fullmv_N50_alpha0p3	q019	doc005_p002	4	0.45168316
hybrid_fullmv_N50_alpha0p3	q019	doc004_p013	5	0.43832142
hybrid_fullmv_N50_alpha0p3	q019	doc003_p029	6	0.43345522
hybrid_fullmv_N50_alpha0p3	q019	doc004_p003	7	0.42042261
hybrid_fullmv_N50_alpha0p3	q019	doc006_p002	8	0.40771636
hybrid_fullmv_N50_alpha0p3	q019	doc003_p022	9	0.40013878
hybrid_fullmv_N50_alpha0p3	q019	doc003_p004	10	0.39966584
hybrid_fullmv_N50_alpha0p3	q020	doc003_p012	1	0.79254204
hybrid_fullmv_N50_alpha0p3	q020	doc003_p004	2	0.56533088
hybrid_fullmv_N50_alpha0p3	q020	doc005_p006	3	0.56458388
hybrid_fullmv_N50_alpha0p3	q020	doc003_p029	4	0.55537089
hybrid_fullmv_N50_alpha0p3	q020	doc005_p004	5	0.53752904
hybrid_fullmv_N50_alpha0p3	q020	doc006_p019	6	0.50925135
hybrid_fullmv_N50_alpha0p3	q020	doc004_p010	7	0.50076029
hybrid_fullmv_N50_alpha0p3	q020	doc003_p003	8	0.49933439
hybrid_fullmv_N50_alpha0p3	q020	doc003_p020	9	0.49679109
hybrid_fullmv_N50_alpha0p3	q020	doc003_p006	10	0.46122083
hybrid_fullmv_N50_alpha0p3	q021	doc003_p012	1	0.70760216
hybrid_fullmv_N50_alpha0p3	q021	doc003_p020	2	0.60049107
hybrid_fullmv_N50_alpha0p3	q021	doc005_p004	3	0.53992461
hybrid_fullmv_N50_alpha0p3	q021	doc005_p006	4	0.53635696
hybrid_fullmv_N50_alpha0p3	q021	doc003_p029	5	0.52482872
hybrid_fullmv_N50_alpha0p3	q021	doc006_p019	6	0.51358534
hybrid_fullmv_N50_alpha0p3	q021	doc003_p004	7	0.51038070
hybrid_fullmv_N50_alpha0p3	q021	doc004_p010	8	0.49156768
hybrid_fullmv_N50_alpha0p3	q021	doc003_p013	9	0.48978315
hybrid_fullmv_N50_alpha0p3	q021	doc003_p006	10	0.48762231
hybrid_fullmv_N50_alpha0p3	q022	doc003_p006	1	0.79572518
hybrid_fullmv_N50_alpha0p3	q022	doc006_p019	2	0.76797014
hybrid_fullmv_N50_alpha0p3	q022	doc006_p013	3	0.76681811
hybrid_fullmv_N50_alpha0p3	q022	doc005_p006	4	0.74123267
hybrid_fullmv_N50_alpha0p3	q022	doc004_p013	5	0.73111911
hybrid_fullmv_N50_alpha0p3	q022	doc005_p004	6	0.71999281
hybrid_fullmv_N50_alpha0p3	q022	doc004_p019	7	0.71329993
hybrid_fullmv_N50_alpha0p3	q022	doc004_p014	8	0.69618683
hybrid_fullmv_N50_alpha0p3	q022	doc003_p029	9	0.67768674
hybrid_fullmv_N50_alpha0p3	q022	doc004_p003	10	0.67466843
hybrid_fullmv_N50_alpha0p3	q023	doc003_p006	1	0.79631960
hybrid_fullmv_N50_alpha0p3	q023	doc006_p019	2	0.78260637
hybrid_fullmv_N50_alpha0p3	q023	doc005_p004	3	0.73621684
hybrid_fullmv_N50_alpha0p3	q023	doc004_p014	4	0.72310872
hybrid_fullmv_N50_alpha0p3	q023	doc006_p013	5	0.70137110
hybrid_fullmv_N50_alpha0p3	q023	doc004_p013	6	0.69876537
hybrid_fullmv_N50_alpha0p3	q023	doc005_p006	7	0.69637924
hybrid_fullmv_N50_alpha0p3	q023	doc003_p029	8	0.65365276
hybrid_fullmv_N50_alpha0p3	q023	doc004_p003	9	0.64107933
hybrid_fullmv_N50_alpha0p3	q023	doc004_p010	10	0.62675868
hybrid_fullmv_N50_alpha0p3	q024	doc003_p006	1	0.89490140
hybrid_fullmv_N50_alpha0p3	q024	doc006_p019	2	0.82284472
hybrid_fullmv_N50_alpha0p3	q024	doc005_p004	3	0.82031721
hybrid_fullmv_N50_alpha0p3	q024	doc005_p006	4	0.70462514
hybrid_fullmv_N50_alpha0p3	q024	doc004_p014	5	0.66957272
hybrid_fullmv_N50_alpha0p3	q024	doc004_p013	6	0.66684902
hybrid_fullmv_N50_alpha0p3	q024	doc003_p029	7	0.66125067
hybrid_fullmv_N50_alpha0p3	q024	doc003_p024	8	0.65984331
hybrid_fullmv_N50_alpha0p3	q024	doc003_p004	9	0.64633861
hybrid_fullmv_N50_alpha0p3	q024	doc006_p013	10	0.63996178
hybrid_fullmv_N50_alpha0p3	q025	doc003_p006	1	0.88763263
hybrid_fullmv_N50_alpha0p3	q025	doc006_p019	2	0.83138011
hybrid_fullmv_N50_alpha0p3	q025	doc005_p004	3	0.77421519
hybrid_fullmv_N50_alpha0p3	q025	doc004_p014	4	0.74743233
hybrid_fullmv_N50_alpha0p3	q025	doc005_p006	5	0.72275253
hybrid_fullmv_N50_alpha0p3	q025	doc003_p029	6	0.69467933
