query_id,page_id,coarse_rank,fine_rank,bm25_score_raw,mv_score_raw,bm25_score_norm,mv_score_norm,alpha,hybrid_score,hybrid_rank
q001,doc006_p019,1,14,15.05430200,0.97452557,1.00000000,0.73338435,0.7,0.92001530,1
q001,doc006_p013,3,6,11.74067500,1.03309250,0.72444180,0.79383753,0.7,0.74526052,2
q001,doc001_p001,2,49,13.69148500,0.33672112,0.88666938,0.07503826,0.7,0.64318004,3
q001,doc003_p003,6,23,9.23528300,0.91428292,0.51609569,0.67120147,0.7,0.56262742,4
q001,doc001_p004,4,41,9.66284400,0.77127963,0.55165127,0.52359251,0.7,0.54323364,5
q001,doc004_p019,16,1,7.05589500,1.23282230,0.33485977,0.99999999,0.7,0.53440184,6
q001,doc006_p003,5,38,9.28121700,0.81212556,0.51991552,0.56575395,0.7,0.53366705,7
q001,doc003_p004,8,8,7.48106200,1.01229644,0.37021627,0.77237170,0.7,0.49086290,8
q001,doc005_p009,9,15,7.45509900,0.97065830,0.36805721,0.72939253,0.7,0.47645781,9
q001,doc006_p009,7,24,7.66040700,0.90707636,0.38513044,0.66376281,0.7,0.46872015,10
q001,doc001_p002,15,10,7.07261200,0.99378622,0.33624994,0.75326532,0.7,0.46135455,11
q001,doc009_p003,17,11,7.03525500,0.98625076,0.33314337,0.74548717,0.7,0.45684651,12
q001,doc006_p016,20,13,6.96758700,0.98228097,0.32751616,0.74138952,0.7,0.45167817,13
q001,doc005_p006,19,17,6.97912500,0.96540755,0.32847565,0.72397267,0.7,0.44712476,14
q001,doc004_p015,26,4,6.32265300,1.05938816,0.27388404,0.82098009,0.7,0.43801286,15
q001,doc006_p002,27,7,6.29075800,1.02268279,0.27123168,0.78309256,0.7,0.42478994,16
q001,doc005_p004,13,28,7.16875400,0.85756505,0.34424502,0.61265690,0.7,0.42476858,17
q001,doc007_p001,12,35,7.18752500,0.82978302,0.34580600,0.58398010,0.7,0.41725823,18
q001,doc010_p002,18,27,7.00748000,0.86175323,0.33083363,0.61697997,0.7,0.41667753,19
q001,doc004_p003,28,9,6.21405800,1.00560760,0.26485338,0.76546743,0.7,0.41503760,20
q001,doc001_p005,11,43,7.20829400,0.74928939,0.34753314,0.50089403,0.7,0.39354141,21
q001,doc006_p006,22,33,6.74361900,0.83383554,0.30889119,0.58816314,0.7,0.39267277,22
q001,doc006_p008,36,2,5.43510700,1.07069719,0.20007652,0.83265335,0.7,0.38984957,23
q001,doc006_p026,23,32,6.63891800,0.83700591,0.30018435,0.59143562,0.7,0.38755973,24
q001,doc004_p014,25,29,6.51815400,0.85676211,0.29014172,0.61182810,0.7,0.38664763,25
q001,doc003_p021,31,18,5.85077200,0.96106029,0.23464284,0.71948539,0.7,0.38009561,26
q001,doc010_p001,14,46,7.13687100,0.68781722,0.34159366,0.43744204,0.7,0.37034817,27
q001,doc003_p028,38,3,5.02680900,1.07011628,0.16612283,0.83205373,0.7,0.36590210,28
q001,doc004_p010,33,20,5.60657400,0.95355850,0.21433556,0.71174200,0.7,0.36355749,29
q001,doc005_p003,37,16,5.37841300,0.96944505,0.19536190,0.72814020,0.7,0.35519539,30
q001,doc006_p015,24,44,6.58028900,0.74079651,0.29530881,0.49212762,0.7,0.35435445,31
q001,doc006_p005,30,37,5.97722600,0.82266188,0.24515864,0.57662961,0.7,0.34459993,32
q001,doc002_p001,10,48,7.24297300,0.57416475,0.35041701,0.32012919,0.7,0.34133066,33
q001,doc007_p002,34,30,5.60572000,0.84466016,0.21426454,0.59933639,0.7,0.32978610,34
q001,doc004_p016,42,5,4.56373600,1.03367424,0.12761411,0.79443801,0.7,0.32766128,35
q001,doc005_p001,35,36,5.44825800,0.82559609,0.20117015,0.57965833,0.7,0.31471660,36
q001,doc006_p007,32,42,5.75124000,0.76305568,0.22636585,0.51510369,0.7,0.31298720,37
q001,doc004_p009,40,21,4.88125000,0.92304498,0.15401828,0.68024573,0.7,0.31188652,38
q001,doc006_p014,29,47,5.98329900,0.66976666,0.24566367,0.41881013,0.7,0.29760761,39
q001,doc006_p004,41,26,4.68427600,0.86228174,0.13763810,0.61752550,0.7,0.28160432,40
q001,doc006_p011,39,40,4.91621300,0.77195990,0.15692577,0.52429469,0.7,0.26713645,41
q001,doc004_p018,46,19,3.89828100,0.95653301,0.07227548,0.71481230,0.7,0.26503653,42
q001,doc004_p013,43,34,4.51841100,0.83027571,0.12384492,0.58448866,0.7,0.26203804,43
q001,doc006_p010,45,25,3.99528800,0.87383735,0.08034249,0.62945328,0.7,0.24507573,44
q001,doc004_p005,48,12,3.10327600,0.98230082,0.00616359,0.74141001,0.7,0.22673752,45
q001,doc001_p003,21,50,6.87130300,0.26402420,0.31950927,0.00000000,0.7,0.22365649,46
q001,doc006_p012,47,22,3.40451300,0.91472721,0.03121418,0.67166007,0.7,0.22334795,47
q001,doc006_p027,44,45,4.01557900,0.71347523,0.08202987,0.46392641,0.7,0.19659883,48
q001,doc005_p002,50,31,3.02915800,0.84274089,0.00000000,0.59735530,0.7,0.17920659,49
q001,doc003_p001,49,39,3.09011000,0.77535468,0.00506871,0.52779880,0.7,0.16188774,50
q002,doc001_p002,2,1,11.74635400,0.50915086,0.84083502,0.99999999,0.7,0.88858451,1
q002,doc006_p019,3,3,10.97743200,0.15394033,0.77156330,0.67446491,0.7,0.74243378,2
q002,doc001_p001,1,50,13.51309900,-0.58200812,1.00000000,0.00000000,0.7,0.70000000,3
q002,doc006_p013,4,2,8.99068500,0.20099561,0.59257847,0.71758904,0.7,0.63008164,4
q002,doc006_p009,6,23,7.66040700,-0.11119193,0.47273454,0.43148267,0.7,0.46035898,5
q002,doc001_p005,5,45,8.43588400,-0.30079967,0.54259679,0.25771538,0.7,0.45713237,6
q002,doc004_p014,14,5,6.51815400,0.13866320,0.36982966,0.66046408,0.7,0.45701999,7
q002,doc006_p003,8,26,7.42036200,-0.13996091,0.45110903,0.40511714,0.7,0.43731146,8
q002,doc005_p009,7,28,7.45509900,-0.16305214,0.45423846,0.38395503,0.7,0.43315343,9
q002,doc009_p003,9,21,7.03525500,-0.10809001,0.41641497,0.43432544,0.7,0.42178811,10
q002,doc006_p016,11,19,6.96758700,-0.10299900,0.41031880,0.43899113,0.7,0.41892050,11
q002,doc003_p003,12,22,6.81874500,-0.11045206,0.39690972,0.43216072,0.7,0.40748502,12
q002,doc004_p003,16,12,6.21405800,0.01752375,0.34243383,0.54944502,0.7,0.40453719,13
q002,doc004_p019,18,10,6.10186400,0.02226370,0.33232634,0.55378898,0.7,0.39876513,14
q002,doc010_p002,10,32,7.00748000,-0.21370851,0.41391274,0.33753066,0.7,0.39099812,15
q002,doc006_p002,15,15,6.29075800,-0.06311381,0.34934369,0.47554418,0.7,0.38720384,16
q002,doc005_p006,21,6,5.52410400,0.05762499,0.28027630,0.58619607,0.7,0.37205223,17
q002,doc004_p010,19,11,5.60657400,0.01818884,0.28770597,0.55005454,0.7,0.36641054,18
q002,doc006_p006,13,40,6.74361900,-0.24669106,0.39014166,0.30730358,0.7,0.36529024,19
q002,doc004_p016,31,4,4.56373600,0.14923041,0.19375733,0.67014847,0.7,0.33667467,20
q002,doc005_p001,22,16,5.44825800,-0.09407608,0.27344338,0.44716860,0.7,0.32556095,21
q002,doc004_p013,32,7,4.51841100,0.04324809,0.18967403,0.57302026,0.7,0.30467790,22
q002,doc002_p001,17,48,6.19127200,-0.34836042,0.34038106,0.21412801,0.7,0.30250515,23
q002,doc004_p015,23,18,5.10432800,-0.10149018,0.24245893,0.44037390,0.7,0.30183342,24
q002,doc004_p009,27,14,4.88125000,-0.05655209,0.22236197,0.48155772,0.7,0.30012070,25
q002,doc003_p028,24,24,5.02680900,-0.11906508,0.23547529,0.42426726,0.7,0.29211288,26
q002,doc005_p004,33,8,4.23015200,0.03784160,0.16370495,0.56806545,0.7,0.28501310,27
q002,doc007_p002,20,44,5.60572000,-0.27982736,0.28762903,0.27693559,0.7,0.28442100,28
q002,doc006_p004,28,30,4.68427600,-0.17657304,0.20461670,0.37156371,0.7,0.25470080,29
q002,doc006_p011,25,36,4.91621300,-0.23124057,0.22551177,0.32146328,0.7,0.25429722,30
q002,doc001_p004,26,43,4.89258100,-0.26350585,0.22338277,0.29189355,0.7,0.24393600,31
q002,doc006_p026,30,41,4.61000500,-0.25311804,0.19792567,0.30141353,0.7,0.22897203,32
q002,doc004_p018,35,17,3.89828100,-0.09472998,0.13380689,0.44656933,0.7,0.22763562,33
q002,doc003_p021,40,13,3.55767900,-0.03319685,0.10312226,0.50296178,0.7,0.22307412,34
q002,doc006_p010,34,29,3.99528800,-0.17426977,0.14254619,0.37367455,0.7,0.21188470,35
q002,doc004_p005,44,9,3.10327600,0.02252713,0.06218537,0.55403040,0.7,0.20973888,36
q002,doc006_p015,37,31,3.67376100,-0.19422059,0.11358002,0.35539049,0.7,0.18612316,37
q002,doc006_p005,36,38,3.81955400,-0.23617859,0.12671442,0.31693780,0.7,0.18378143,38
q002,doc007_p001,39,33,3.57438000,-0.21634421,0.10462685,0.33511515,0.7,0.17377334,39
q002,doc005_p002,46,20,3.02915800,-0.10504795,0.05550813,0.43711336,0.7,0.16998970,40
q002,doc006_p014,41,34,3.50548700,-0.21637705,0.09842032,0.33508505,0.7,0.16941974,41
q002,doc006_p012,42,37,3.40451300,-0.23550883,0.08932363,0.31755161,0.7,0.15779202,42
q002,doc006_p007,43,42,3.40279900,-0.26192775,0.08916922,0.29333981,0.7,0.15042040,43
q002,doc001_p003,29,49,4.64583900,-0.54993731,0.20115394,0.02939151,0.7,0.14962521,44
q002,doc010_p001,38,46,3.63680400,-0.32664922,0.11025059,0.23402538,0.7,0.14738303,45
q002,doc003_p001,45,35,3.09011000,-0.22814913,0.06099926,0.32429645,0.7,0.13998842,46
q002,doc005_p003,48,27,2.53551500,-0.15362804,0.01103613,0.39259181,0.7,0.12550283,47
q002,doc003_p004,50,25,2.41301300,-0.12922360,0.00000000,0.41495742,0.7,0.12448723,48
q002,doc004_p020,47,39,2.67277500,-0.24380569,0.02340180,0.30994789,0.7,0.10936563,49
q002,doc003_p029,49,47,2.50112000,-0.33343807,0.00793751,0.22780370,0.7,0.07389737,50
q003,doc006_p019,2,15,10.99652200,-0.27072459,0.83726226,0.57918867,0.7,0.75984018,1
q003,doc002_p001,1,48,12.80303800,-0.77251554,1.00000000,0.15774101,0.7,0.74732230,2
q003,doc007_p002,3,33,9.36951200,-0.35004523,0.69069510,0.51256830,0.7,0.63725706,3
q003,doc006_p013,5,8,8.60126400,-0.17107475,0.62148843,0.66288327,0.7,0.63390688,4
q003,doc006_p011,4,40,8.79135200,-0.41315076,0.63861227,0.45956679,0.7,0.58489863,5
q003,doc005_p001,6,36,8.49916200,-0.36825460,0.61229070,0.49727449,0.7,0.57778584,6
q003,doc006_p009,7,11,7.66040700,-0.22645813,0.53673251,0.61636749,0.7,0.56062300,7
q003,doc004_p010,9,4,7.24552500,-0.13141218,0.49935838,0.69619534,0.7,0.55840947,8
q003,doc005_p006,11,3,7.09094600,-0.12977339,0.48543332,0.69757174,0.7,0.54907485,9
q003,doc005_p009,8,24,7.30062400,-0.31239980,0.50432190,0.54418621,0.7,0.51628119,10
q003,doc005_p004,10,29,7.19721400,-0.33205265,0.49500634,0.52768004,0.7,0.50480845,11
q003,doc003_p004,13,14,5.91425700,-0.26708820,0.37943276,0.58224283,0.7,0.44027578,12
q003,doc001_p002,35,1,3.88813100,0.23030871,0.19691173,0.99999999,0.7,0.43783821,13
q003,doc005_p002,12,41,6.18009500,-0.41343707,0.40338045,0.45932633,0.7,0.42016421,14
q003,doc010_p002,14,22,5.66062600,-0.30982089,0.35658473,0.54635220,0.7,0.41351497,15
q003,doc004_p015,20,10,5.26706400,-0.21938136,0.32113119,0.62231118,0.7,0.41148519,16
q003,doc006_p016,19,12,5.29084000,-0.23922959,0.32327302,0.60564091,0.7,0.40798339,17
q003,doc005_p003,17,20,5.37165000,-0.28768730,0.33055269,0.56494191,0.7,0.40086946,18
q003,doc004_p009,21,18,5.24677700,-0.27905208,0.31930366,0.57219452,0.7,0.39517092,19
q003,doc006_p006,18,28,5.37004500,-0.32959658,0.33040810,0.52974286,0.7,0.39020853,20
q003,doc004_p014,24,5,4.56220100,-0.14806405,0.25763449,0.68220966,0.7,0.38500704,21
