method,setting,N,M,alpha,run_name,query_count,final_top_k,total_candidates,total_written,avg_candidates_per_query,avg_written_per_query,fusion_time_seconds,avg_fusion_latency_ms_per_query,failed_validation_count,status,input_file,run_file,score_file,validation_file
fullmv,fullmv_N50,50,-,0.0,hybrid_fullmv_N50_alpha0p0,30,10,1500,300,50.0000,10.0000,0.004407,0.146910,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p0_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p0_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p0_validation.csv
fullmv,fullmv_N50,50,-,0.1,hybrid_fullmv_N50_alpha0p1,30,10,1500,300,50.0000,10.0000,0.004710,0.157017,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p1_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p1_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p1_validation.csv
fullmv,fullmv_N50,50,-,0.2,hybrid_fullmv_N50_alpha0p2,30,10,1500,300,50.0000,10.0000,0.003840,0.128010,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p2_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p2_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p2_validation.csv
fullmv,fullmv_N50,50,-,0.3,hybrid_fullmv_N50_alpha0p3,30,10,1500,300,50.0000,10.0000,0.003960,0.132000,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p3_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p3_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p3_validation.csv
fullmv,fullmv_N50,50,-,0.4,hybrid_fullmv_N50_alpha0p4,30,10,1500,300,50.0000,10.0000,0.003753,0.125087,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p4_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p4_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p4_validation.csv
fullmv,fullmv_N50,50,-,0.5,hybrid_fullmv_N50_alpha0p5,30,10,1500,300,50.0000,10.0000,0.004132,0.137733,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p5_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p5_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p5_validation.csv
fullmv,fullmv_N50,50,-,0.6,hybrid_fullmv_N50_alpha0p6,30,10,1500,300,50.0000,10.0000,0.004146,0.138213,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p6_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p6_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p6_validation.csv
fullmv,fullmv_N50,50,-,0.7,hybrid_fullmv_N50_alpha0p7,30,10,1500,300,50.0000,10.0000,0.004401,0.146693,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p7_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p7_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p7_validation.csv
fullmv,fullmv_N50,50,-,0.8,hybrid_fullmv_N50_alpha0p8,30,10,1500,300,50.0000,10.0000,0.003831,0.127697,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p8_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p8_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p8_validation.csv
fullmv,fullmv_N50,50,-,0.9,hybrid_fullmv_N50_alpha0p9,30,10,1500,300,50.0000,10.0000,0.003941,0.131373,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p9_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p9_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha0p9_validation.csv
fullmv,fullmv_N50,50,-,1.0,hybrid_fullmv_N50_alpha1p0,30,10,1500,300,50.0000,10.0000,0.004136,0.137850,0,PASSED,results\week7\score_normalized\bm25_fullmv_N50_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_run.tsv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_scores.csv,results\week7\hybrid_fusion\hybrid_fullmv_N50_alpha1p0_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.0,hybrid_budgetmv_N50_M24_alpha0p0,30,10,1500,300,50.0000,10.0000,0.003760,0.125350,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p0_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p0_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p0_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.1,hybrid_budgetmv_N50_M24_alpha0p1,30,10,1500,300,50.0000,10.0000,0.003937,0.131220,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p1_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p1_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p1_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.2,hybrid_budgetmv_N50_M24_alpha0p2,30,10,1500,300,50.0000,10.0000,0.003841,0.128037,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p2_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p2_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p2_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.3,hybrid_budgetmv_N50_M24_alpha0p3,30,10,1500,300,50.0000,10.0000,0.003981,0.132687,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p3_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p3_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p3_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.4,hybrid_budgetmv_N50_M24_alpha0p4,30,10,1500,300,50.0000,10.0000,0.003813,0.127087,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p4_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p4_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p4_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.5,hybrid_budgetmv_N50_M24_alpha0p5,30,10,1500,300,50.0000,10.0000,0.004167,0.138887,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p5_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p5_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p5_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.6,hybrid_budgetmv_N50_M24_alpha0p6,30,10,1500,300,50.0000,10.0000,0.003781,0.126023,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p6_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p6_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p6_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.7,hybrid_budgetmv_N50_M24_alpha0p7,30,10,1500,300,50.0000,10.0000,0.003814,0.127130,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p7_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p7_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p7_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.8,hybrid_budgetmv_N50_M24_alpha0p8,30,10,1500,300,50.0000,10.0000,0.004162,0.138723,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p8_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p8_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p8_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,0.9,hybrid_budgetmv_N50_M24_alpha0p9,30,10,1500,300,50.0000,10.0000,0.003948,0.131597,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p9_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p9_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha0p9_validation.csv
budgetmv,budgetmv_N50_M24_none,50,24,1.0,hybrid_budgetmv_N50_M24_alpha1p0,30,10,1500,300,50.0000,10.0000,0.004003,0.133420,0,PASSED,results\week7\score_normalized\bm25_budgetmv_N50_M24_none_normalized_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_run.tsv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_scores.csv,results\week7\hybrid_fusion\hybrid_budgetmv_N50_M24_alpha1p0_validation.csv
