query_id,page_id,region_id,condition,image_path,source_image_path,gold_bbox,mask_bbox,mask_area,random_iou_with_gold,image_w,image_h,mask_color,status
q001,doc001_p001,r1,Original,artifacts\occlusion_pages\q001_doc001_p001_original.png,data\images\doc001\doc001_p001.png,"[575, 929, 1017, 1468]",,0,,1582,2450,"(255, 255, 255)",PASSED
q001,doc001_p001,r1,Gold Mask,artifacts\occlusion_pages\q001_doc001_p001_gold_mask.png,data\images\doc001\doc001_p001.png,"[575, 929, 1017, 1468]","[575, 929, 1017, 1468]",238238,,1582,2450,"(255, 255, 255)",PASSED
q001,doc001_p001,r1,Random Mask,artifacts\occlusion_pages\q001_doc001_p001_random_mask.png,data\images\doc001\doc001_p001.png,"[575, 929, 1017, 1468]","[228, 51, 670, 590]",238238,0.000000,1582,2450,"(255, 255, 255)",PASSED
q002,doc001_p002,r1,Original,artifacts\occlusion_pages\q002_doc001_p002_original.png,data\images\doc001\doc001_p002.png,"[599, 953, 947, 1394]",,0,,1582,2450,"(255, 255, 255)",PASSED
q002,doc001_p002,r1,Gold Mask,artifacts\occlusion_pages\q002_doc001_p002_gold_mask.png,data\images\doc001\doc001_p002.png,"[599, 953, 947, 1394]","[599, 953, 947, 1394]",153468,,1582,2450,"(255, 255, 255)",PASSED
q002,doc001_p002,r1,Random Mask,artifacts\occlusion_pages\q002_doc001_p002_random_mask.png,data\images\doc001\doc001_p002.png,"[599, 953, 947, 1394]","[563, 501, 911, 942]",153468,0.000000,1582,2450,"(255, 255, 255)",PASSED
q004,doc001_p004,r1,Original,artifacts\occlusion_pages\q004_doc001_p004_original.png,data\images\doc001\doc001_p004.png,"[929, 663, 1468, 947]",,0,,2450,1582,"(255, 255, 255)",PASSED
q004,doc001_p004,r1,Gold Mask,artifacts\occlusion_pages\q004_doc001_p004_gold_mask.png,data\images\doc001\doc001_p004.png,"[929, 663, 1468, 947]","[929, 663, 1468, 947]",153076,,2450,1582,"(255, 255, 255)",PASSED
q004,doc001_p004,r1,Random Mask,artifacts\occlusion_pages\q004_doc001_p004_random_mask.png,data\images\doc001\doc001_p004.png,"[929, 663, 1468, 947]","[457, 285, 996, 569]",153076,0.000000,2450,1582,"(255, 255, 255)",PASSED
q006,doc002_p001,r1,Original,artifacts\occlusion_pages\q006_doc002_p001_original.png,data\images\doc002\doc002_p001.png,"[695, 710, 1219, 1013]",,0,,2382,1684,"(255, 255, 255)",PASSED
