query_id,page_id,region_id,score_original,score_gold_mask,score_random_mask,COG_score,nDCG_original,nDCG_gold_mask,nDCG_random_mask,COG_nDCG,delta_original_gold,delta_original_random,random_iou_with_gold,status
q001,doc001_p001,r1,0.28208059,0.00000000,0.28208059,0.28208059,1.00000000,0.00000000,1.00000000,1.00000000,0.28208059,0.00000000,0.000000,PASSED
q002,doc001_p002,r1,0.13606575,0.00000000,0.13606575,0.13606575,1.00000000,0.00000000,1.00000000,1.00000000,0.13606575,0.00000000,0.000000,PASSED
q004,doc001_p004,r1,0.01350269,0.00000000,0.01350269,0.01350269,1.00000000,0.00000000,1.00000000,1.00000000,0.01350269,0.00000000,0.000000,PASSED
q006,doc002_p001,r1,0.27878006,0.00000000,0.27878006,0.27878006,1.00000000,0.00000000,1.00000000,1.00000000,0.27878006,0.00000000,0.000000,PASSED
q007,doc002_p001,r1,0.27878006,0.00000000,0.27878006,0.27878006,1.00000000,0.00000000,1.00000000,1.00000000,0.27878006,0.00000000,0.000000,PASSED
q008,doc003_p007,r1,0.08288908,0.00000000,0.08288908,0.08288908,1.00000000,0.00000000,1.00000000,1.00000000,0.08288908,0.00000000,0.000000,PASSED
q009,doc003_p008,r1,0.09892566,0.00000000,0.09892566,0.09892566,1.00000000,0.00000000,1.00000000,1.00000000,0.09892566,0.00000000,0.000000,PASSED
q010,doc003_p009,r1,0.28175521,0.00000000,0.28175521,0.28175521,1.00000000,0.00000000,1.00000000,1.00000000,0.28175521,0.00000000,0.000000,PASSED
q011,doc003_p010,r1,0.28198810,0.00000000,0.28198810,0.28198810,1.00000000,0.00000000,1.00000000,1.00000000,0.28198810,0.00000000,0.000000,PASSED
q012,doc003_p011,r1,0.28017085,0.00000000,0.28017085,0.28017085,1.00000000,0.00000000,1.00000000,1.00000000,0.28017085,0.00000000,0.000000,PASSED
