Method,query_id,gold_page_id,region_id,gold_bbox,patch_rank,patch_index,patch_score,patch_bbox,patch_center_x,patch_center_y,center_hit,iou,iou_hit,region_hit,image_w,image_h,image_path
Full MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",1,9,0.10643489,"[452.0, 350.0, 678.0, 700.0]",565.0000,525.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Full MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",2,10,0.10625790,"[678.0, 350.0, 904.0, 700.0]",791.0000,525.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Full MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",3,47,0.09896334,"[1130.0, 2100.0, 1356.0, 2450.0]",1243.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Full MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",4,22,0.09557522,"[226.0, 1050.0, 452.0, 1400.0]",339.0000,1225.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Full MV,q001,doc001_p001,r1,"[575, 929, 1017, 1468]",5,3,0.09295828,"[678.0, 0.0, 904.0, 350.0]",791.0000,175.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p001.png
Full MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",1,47,0.09896334,"[1130.0, 2100.0, 1356.0, 2450.0]",1243.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Full MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",2,45,0.08829330,"[678.0, 2100.0, 904.0, 2450.0]",791.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Full MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",3,46,0.08509482,"[904.0, 2100.0, 1130.0, 2450.0]",1017.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Full MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",4,43,0.08241466,"[226.0, 2100.0, 452.0, 2450.0]",339.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Full MV,q002,doc001_p002,r1,"[599, 953, 947, 1394]",5,44,0.07025284,"[452.0, 2100.0, 678.0, 2450.0]",565.0000,2275.0000,0,0.000000,0,0,1582,2450,data\images\doc001\doc001_p002.png
Full MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",1,45,0.11125158,"[1050.0, 1356.0, 1400.0, 1582.0]",1225.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
Full MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",2,47,0.09383059,"[1750.0, 1356.0, 2100.0, 1582.0]",1925.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
Full MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",3,48,0.08605563,"[2100.0, 1356.0, 2450.0, 1582.0]",2275.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
Full MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",4,46,0.08565108,"[1400.0, 1356.0, 1750.0, 1582.0]",1575.0000,1469.0000,0,0.000000,0,0,2450,1582,data\images\doc001\doc001_p004.png
Full MV,q004,doc001_p004,r1,"[929, 663, 1468, 947]",5,30,0.07386852,"[700.0, 904.0, 1050.0, 1130.0]",875.0000,1017.0000,0,0.022923,0,0,2450,1582,data\images\doc001\doc001_p004.png
Full MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",1,47,0.14028791,"[1701.4286, 1443.4286, 2041.7143, 1684.0]",1871.5714,1563.7143,0,0.000000,0,0,2382,1684,data\images\doc002\doc002_p001.png
Full MV,q006,doc002_p001,r1,"[695, 710, 1219, 1013]",2,23,0.11629902,"[680.5714, 721.7143, 1020.8571, 962.2857]",850.7143,842.0000,1,0.483176,1,1,2382,1684,data\images\doc002\doc002_p001.png
