query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score,bm25_score_raw,mv_score_raw,bm25_score_norm,mv_score_norm,query_bm25_min,query_bm25_max,query_mv_min,query_mv_max,page_tokens_before,page_tokens_after
q001,doc006_p008,36,5.43510700,1,1.06989670,5.43510700,1.06989670,0.20007652,0.99999999,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p019,16,7.05589500,2,1.03028953,7.05589500,1.03028953,0.33485977,0.96288715,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p002,27,6.29075800,3,1.01802504,6.29075800,1.01802504,0.27123168,0.95139504,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p005,48,3.10327600,4,0.97081399,3.10327600,0.97081399,0.00616359,0.90715719,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc003_p028,38,5.02680900,5,0.96956313,5.02680900,0.96956313,0.16612283,0.90598510,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc005_p006,19,6.97912500,6,0.96540755,6.97912500,0.96540755,0.32847565,0.90209123,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p013,3,11.74067500,7,0.96380454,11.74067500,0.96380454,0.72444180,0.90058917,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p003,28,6.21405800,8,0.96223569,6.21405800,0.96223569,0.26485338,0.89911912,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc009_p003,17,7.03525500,9,0.94548428,7.03525500,0.94548428,0.33314337,0.88342266,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc003_p004,8,7.48106200,10,0.91910434,7.48106200,0.91910434,0.37021627,0.85870404,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p016,20,6.96758700,11,0.90652138,6.96758700,0.90652138,0.32751616,0.84691351,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p009,40,4.88125000,12,0.89540887,4.88125000,0.89540887,0.15401828,0.83650083,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc005_p003,37,5.37841300,13,0.88296777,5.37841300,0.88296777,0.19536190,0.82484323,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p010,45,3.99528800,14,0.86993396,3.99528800,0.86993396,0.08034249,0.81263025,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc003_p021,31,5.85077200,15,0.86285663,5.85077200,0.86285663,0.23464284,0.80599863,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p018,46,3.89828100,16,0.84091711,3.89828100,0.84091711,0.07227548,0.78544079,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc005_p002,50,3.02915800,17,0.84058034,3.02915800,0.84058034,0.00000000,0.78512522,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p010,33,5.60657400,18,0.83176959,5.60657400,0.83176959,0.21433556,0.77686935,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc010_p002,18,7.00748000,19,0.82680643,7.00748000,0.82680643,0.33083363,0.77221875,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p015,26,6.32265300,20,0.81589127,6.32265300,0.81589127,0.27388404,0.76199099,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc005_p004,13,7.16875400,21,0.81487769,7.16875400,0.81487769,0.34424502,0.76104124,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc007_p001,12,7.18752500,22,0.81254774,7.18752500,0.81254774,0.34580600,0.75885803,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p016,42,4.56373600,23,0.81167310,4.56373600,0.81167310,0.12761411,0.75803847,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p005,30,5.97722600,24,0.81090236,5.97722600,0.81090236,0.24515864,0.75731627,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p026,23,6.63891800,25,0.80141008,6.63891800,0.80141008,0.30018435,0.74842178,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p004,41,4.68427600,26,0.80089384,4.68427600,0.80089384,0.13763810,0.74793805,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc003_p003,6,9.23528300,27,0.80018252,9.23528300,0.80018252,0.51609569,0.74727153,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc007_p002,34,5.60572000,28,0.79237735,5.60572000,0.79237735,0.21426454,0.73995790,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p006,22,6.74361900,29,0.77199537,6.74361900,0.77199537,0.30889119,0.72085951,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p009,7,7.66040700,30,0.77192104,7.66040700,0.77192104,0.38513044,0.72078986,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p003,5,9.28121700,31,0.76343638,9.28121700,0.76343638,0.51991552,0.71283954,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc001_p004,4,9.66284400,32,0.76038694,9.66284400,0.76038694,0.55165127,0.70998214,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc003_p001,49,3.09011000,33,0.76033294,3.09011000,0.76033294,0.00506871,0.70993154,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p007,32,5.75124000,34,0.75923347,5.75124000,0.75923347,0.22636585,0.70890131,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc005_p001,35,5.44825800,35,0.74445653,5.44825800,0.74445653,0.20117015,0.69505498,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p019,1,15.05430200,36,0.72071749,15.05430200,0.72071749,1.00000000,0.67281094,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p014,25,6.51815400,37,0.71634847,6.51815400,0.71634847,0.29014172,0.66871707,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc010_p001,14,7.13687100,38,0.67450720,7.13687100,0.67450720,0.34159366,0.62951083,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p027,44,4.01557900,39,0.66211665,4.01557900,0.66211665,0.08202987,0.61790059,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p011,39,4.91621300,40,0.64631355,4.91621300,0.64631355,0.15692577,0.60309272,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p012,47,3.40451300,41,0.62107038,3.40451300,0.62107038,0.03121418,0.57943928,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc005_p009,9,7.45509900,42,0.51936036,7.45509900,0.51936036,0.36805721,0.48413463,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p014,29,5.98329900,43,0.51455772,5.98329900,0.51455772,0.24566367,0.47963444,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc004_p013,43,4.51841100,44,0.39915845,4.51841100,0.39915845,0.12384492,0.37150264,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc001_p002,15,7.07261200,45,0.34494668,7.07261200,0.34494668,0.33624994,0.32070495,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc006_p015,24,6.58028900,46,0.32992417,6.58028900,0.32992417,0.29530881,0.30662851,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc001_p001,2,13.69148500,47,0.26604766,13.69148500,0.26604766,0.88666938,0.24677473,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc001_p005,11,7.20829400,48,0.06587504,7.20829400,0.06587504,0.34753314,0.05920833,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc002_p001,10,7.24297300,49,0.00491118,7.24297300,0.00491118,0.35041701,0.00208377,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q001,doc001_p003,21,6.87130300,50,0.00268736,6.87130300,0.00268736,0.31950927,0.00000000,3.02915800,15.05430200,0.00268736,1.06989670,49,24
q002,doc005_p006,21,5.52410400,1,0.05762504,5.52410400,0.05762504,0.28027630,0.99999999,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc004_p014,14,6.51815400,2,0.02752504,6.51815400,0.02752504,0.36982966,0.96365617,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc004_p005,44,3.10327600,3,0.01027298,3.10327600,0.01027298,0.06218537,0.94282542,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc006_p013,4,8.99068500,4,-0.02975273,8.99068500,-0.02975273,0.59257847,0.89449694,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc004_p003,16,6.21405800,5,-0.04263462,6.21405800,-0.04263462,0.34243383,0.87894289,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc004_p019,18,6.10186400,6,-0.06229459,6.10186400,-0.06229459,0.33232634,0.85520474,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc004_p010,19,5.60657400,7,-0.07136238,5.60657400,-0.07136238,0.28770597,0.84425596,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc004_p009,27,4.88125000,8,-0.08483208,4.88125000,-0.08483208,0.22236197,0.82799217,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc006_p002,15,6.29075800,9,-0.10158624,6.29075800,-0.10158624,0.34934369,0.80776259,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc005_p002,46,3.02915800,10,-0.10720829,3.02915800,-0.10720829,0.05550813,0.80097433,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc005_p001,22,5.44825800,11,-0.10866143,5.44825800,-0.10866143,0.27344338,0.79921976,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc001_p002,2,11.74635400,12,-0.11717981,11.74635400,-0.11717981,0.84083502,0.78893436,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc009_p003,9,7.03525500,13,-0.13392670,7.03525500,-0.13392670,0.41641497,0.76871357,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc003_p004,50,2.41301300,14,-0.14283535,2.41301300,-0.14283535,0.00000000,0.75795694,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
q002,doc006_p016,11,6.96758700,15,-0.14564320,6.96758700,-0.14564320,0.41031880,0.75456665,2.41301300,13.51309900,-0.77057636,0.05762504,49,24
