query_id,page_id,coarse_rank,coarse_score,fine_rank,fine_score,bm25_score_raw,mv_score_raw,bm25_score_norm,mv_score_norm,query_bm25_min,query_bm25_max,query_mv_min,query_mv_max
q001,doc004_p019,16,7.05589500,1,1.23282230,7.05589500,1.23282230,0.33485977,0.99999999,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc006_p008,36,5.43510700,2,1.07069719,5.43510700,1.07069719,0.20007652,0.83265335,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc003_p028,38,5.02680900,3,1.07011628,5.02680900,1.07011628,0.16612283,0.83205373,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc004_p015,26,6.32265300,4,1.05938816,6.32265300,1.05938816,0.27388404,0.82098009,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc004_p016,42,4.56373600,5,1.03367424,4.56373600,1.03367424,0.12761411,0.79443801,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc006_p013,3,11.74067500,6,1.03309250,11.74067500,1.03309250,0.72444180,0.79383753,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc006_p002,27,6.29075800,7,1.02268279,6.29075800,1.02268279,0.27123168,0.78309256,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc003_p004,8,7.48106200,8,1.01229644,7.48106200,1.01229644,0.37021627,0.77237170,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc004_p003,28,6.21405800,9,1.00560760,6.21405800,1.00560760,0.26485338,0.76546743,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc001_p002,15,7.07261200,10,0.99378622,7.07261200,0.99378622,0.33624994,0.75326532,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc009_p003,17,7.03525500,11,0.98625076,7.03525500,0.98625076,0.33314337,0.74548717,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc004_p005,48,3.10327600,12,0.98230082,3.10327600,0.98230082,0.00616359,0.74141001,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc006_p016,20,6.96758700,13,0.98228097,6.96758700,0.98228097,0.32751616,0.74138952,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc006_p019,1,15.05430200,14,0.97452557,15.05430200,0.97452557,1.00000000,0.73338435,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc005_p009,9,7.45509900,15,0.97065830,7.45509900,0.97065830,0.36805721,0.72939253,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc005_p003,37,5.37841300,16,0.96944505,5.37841300,0.96944505,0.19536190,0.72814020,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc005_p006,19,6.97912500,17,0.96540755,6.97912500,0.96540755,0.32847565,0.72397267,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc003_p021,31,5.85077200,18,0.96106029,5.85077200,0.96106029,0.23464284,0.71948539,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc004_p018,46,3.89828100,19,0.95653301,3.89828100,0.95653301,0.07227548,0.71481230,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc004_p010,33,5.60657400,20,0.95355850,5.60657400,0.95355850,0.21433556,0.71174200,3.02915800,15.05430200,0.26402420,1.23282230
q001,doc004_p009,40,4.88125000,21,0.92304498,4.88125000,0.92304498,0.15401828,0.68024573,3.02915800,15.05430200,0.26402420,1.23282230
